Firename_year,Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
LOST LAKE_1995,1995,South,Riverside,LOST LAKE,6/23/95,6/24/95,USFS,NA,2000,B,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1995,1995,South,Riverside,STATE,7/22/95,7/23/95,CDF,1335,NA,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1995,1995,South,Riverside,STATE,9/26/95,9/26/95,CDF,3500,NA,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CITY_1995,1995,South,San Bernardino,CITY,10/22/95,10/23/95,CITY,NA,2500,BG,Vehicle,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MARRON #4_1995,1995,South,San Diego,MARRON #4,7/11/95,7/11/95,CDF,645,NA,BA,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST #51_1995,1995,South,San Luis Obispo,ASSIST #51,10/18/95,10/18/95,CC,NA,1525,B,Arson,0,0,0,0,NA,Ventura,NA,NA,NA,NA,NA,NA
PG&E 13_1995,1995,South,Tuolumne-Calaveras,PG&E 13,7/16/95,7/17/95,CDF,3212,NA,G,Equipment use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BORREGO_1996,1996,South,San Diego,BORREGO,4/21/96,4/25/96,CDF,1325,NA,B,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST #16_1996,1996,South,San Luis Obispo,ASSIST #16,4/28/96,5/3/96,CC,NA,7115,GB,Electrical power,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
DEEP CREEK_1996,1996,South,San Bernardino,DEEP CREEK,6/1/96,6/2/96,CDF,920,NA,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SLAUGHTER HOUSE_1996,1996,South,San Diego,SLAUGHTER HOUSE,7/30/96,7/31/96,CDF,750,NA,B,Equipment Use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CABAZON_1996,1996,South,Riverside,CABAZON,8/15/96,8/15/96,CDF,675,127,B,Smoking,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE 1860 (WESLEY)_1996,1996,South,Riverside,STATE 1860 (WESLEY),9/30/96,10/1/96,CDF,500,NA,GB,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
FKU-15832_1996,1996,Sierra,Fresno-Kings,FKU-15832,4/19/96,4/19/96,LOCAL,NA,920,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
GALE_1996,1996,Sierra,Fresno-Kings,GALE,4/27/96,4/27/96,CDF,1500,NA,G,Equipment Use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
WEAVER_1996,1996,Sierra,Madera-Mariposa,WEAVER,6/10/96,6/10/96,LOCAL,NA,1500,G,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LIGHTNING #70_1997,1997,Cascade,Lassen-Modoc,LIGHTNING #70,8/4/97,8/6/97,CDF,722,NA,T,Lightning,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
