Firename_year,Fire_year_month,Fire_year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities,Start_month
RATTLESNAKE_1984,RATTLESNAKE_1984_3,1984,VI,Riverside,NA,RATTLESNAKE,1984-03-20,1984-03-20,CDF,700,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
AGUANGA_1984,AGUANGA_1984_5,1984,VI,Cleveland NF,NA,AGUANGA,1984-05-30,1984-06-03,USFS,1708,4293,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
WHITE WATER_1984,WHITE WATER_1984_7,1984,VI,Riverside,NA,WHITE WATER,1984-07-07,1684-07-10,CDF,300,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
COAL_1984,COAL_1984_7,1984,VI,Orange County,NA,COAL,1984-07-08,1984-07-09,CC,42,508,B,Playing with fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
SOBOBA #7_1984,SOBOBA #7_1984_10,1984,VI,Riverside,NA,SOBOBA #7,1984-10-25,1984-10-25,CDF,972,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
CANEL_1984,CANEL_1984_10,1984,VI,Riverside,NA,CANEL,1984-10-26,1984-10-28,LOCAL,NA,665,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
CREST_1984,CREST_1984_1,1984,VI,Angeles NF,NA,CREST,1984-01-26,1984-01-29,USFS,NA,600,BG,Electrical power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GRIMES_1984,GRIMES_1984_5,1984,VI,Ventura County,NA,GRIMES,1984-05-07,1984-05-08,CC,NA,10500,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
STODDARD #2_1984,STODDARD #2_1984_5,1984,VI,San Bernardino,NA,STODDARD #2,1984-05-12,1984-05-13,BLM,NA,2126,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
LYTLE_1984,LYTLE_1984_5,1984,VI,San Bernardino,NA,LYTLE,1984-05-28,1984-05-30,USFS,NA,2100,B,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
LOS FLORES_1984,LOS FLORES_1984_5,1984,VI,San Bernardino,NA,LOS FLORES,1984-05-30,1984-05-30,CDF,316,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
RATTLESNAKE_1984,RATTLESNAKE_1984_6,1984,VI,San Bernardino,NA,RATTLESNAKE,1984-06-28,NA,USFS,75,265,BG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
MARIPOSA_1984,MARIPOSA_1984_8,1984,VI,San Bernardino,NA,MARIPOSA,1984-08-27,1984-08-27,CDF,280,60,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
SQUAW FLAT_1984,SQUAW FLAT_1984_10,1984,VI,Ventura County,NA,SQUAW FLAT,1984-10-15,1984-10-17,CC,NA,6010,B,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
PROCTOR_1984,PROCTOR_1984_4,1984,VI,San Diego,NA,PROCTOR,1984-04-21,1984-04-22,CDF,2563,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
BOWLES_1984,BOWLES_1984_9,1984,VI,San Diego,NA,BOWLES,1984-09-06,1984-09-08,CDF,2836,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
HIDDEN VALLEY_1985,HIDDEN VALLEY_1985_7,1985,I,Lake-Napa,NA,HIDDEN VALLEY,1985-07-09,1985-07-11,CDF,1250,NA,WB,Misc,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
MAGIC_1985,MAGIC_1985_7,1985,I,Lake-Napa,NA,MAGIC,1985-07-10,1985-07-11,CDF,357,NA,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
MILLER_1985,MILLER_1985_8,1985,I,Lake-Napa,NA,MILLER,1985-08-31,1985-09-02,CDF,2080,NA,WG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
BALD MT._1985,BALD MT._1985_10,1985,I,Lake-Napa,NA,BALD MT.,1985-10-08,1985-10-09,CDF,5280,NA,WG,Electrical power,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
IRON PEAK_1985,IRON PEAK_1985_7,1985,I,Mendocino,NA,IRON PEAK,1985-07-09,1985-07-10,CDF,529,NA,TW,Railroad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
ROCK CREEK_1985,ROCK CREEK_1985_6,1985,II,Butte,NA,ROCK CREEK,1985-06-11,1985-06-12,CDF,1650,NA,B,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
MURRER_1985,MURRER_1985_7,1985,II,Lassen-Modoc,NA,MURRER,1985-07-08,1985-07-10,CDF,1055,NA,T,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
BASS_1985,BASS_1985_8,1985,II,Lassen-Modoc,NA,BASS,1985-08-07,1985-08-07,CDF,2445,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
USFS #20_1985,USFS #20_1985_7,1985,II,Shasta-Trinity,NA,USFS #20,1985-07-18,1985-07-21,USFS,NA,1620,C,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
USFS #29_1985,USFS #29_1985_7,1985,II,Shasta-Trinity,NA,USFS #29,1985-07-26,1985-08-04,USFS,NA,3900,TB,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
BLUENOSE_1985,BLUENOSE_1985_7,1985,II,Shasta-Trinity,NA,BLUENOSE,1985-07-27,1985-07-29,CDF,312,NA,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
USFS #33_1985,USFS #33_1985_7,1985,II,Shasta-Trinity,NA,USFS #33,1985-07-28,1985-08-01,USFS,NA,1202,TB,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
AMADOR_1985,AMADOR_1985_7,1985,IV,Amador-El Dorado,NA,AMADOR,1985-07-09,1985-07-09,CDF,652,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
8 MILE_1985,8 MILE_1985_8,1985,IV,Amador-El Dorado,NA,8 MILE,1985-08-09,1985-08-09,CDF,462,NA,W,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
PANOCHE_1985,PANOCHE_1985_6,1985,IV,Fresno-Kings,NA,PANOCHE,1985-06-09,1985-06-10,CDF,5580,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
