Firename_year,Fire_year_month,Fire_year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities,Start_month
HWY 58_2002,HWY 58_2002_7,2002,South,San Luis Obispo,NA,HWY 58,2002-07-18,2002-07-19,CDF,1380,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
PONY_2002,PONY_2002_6,2002,Sierra,Amador-El Dorado,NA,PONY,2002-06-09,2002-06-09,CDF,720,NA,GWB,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
HICKOCK_2002,HICKOCK_2002_8,2002,Sierra,Amador-El Dorado,NA,HICKOCK,2002-08-31,2002-08-31,CDF,775,NA,B,Misc,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,8
PLUM_2002,PLUM_2002_11,2002,Sierra,Amador-El Dorado,NA,PLUM,2002-11-25,2002-11-25,USFS,NA,1765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
NICHOLAS_2002,NICHOLAS_2002_3,2002,Sierra,Madera-Mariposa-Merced,NA,NICHOLAS,2002-03-16,2002-03-16,LOCAL,NA,12000,A,Debris Burning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,3
SPI #3 SOURGRASS_2002,SPI #3 SOURGRASS_2002_11,2002,Sierra,Tuolumne-Calaveras,NA,SPI #3 SOURGRASS,2002-11-25,2002-11-30,CDF,635,NA,TB,Debris Burning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,11
BOREL_2002,BOREL_2002_6,2002,Sierra,Tulare,NA,BOREL,2002-06-15,2002-06-17,USFS,NA,3430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
MCNALLY_2002,MCNALLY_2002_7,2002,Sierra,Tulare,NA,MCNALLY,2002-07-21,2002-07-21,USFS,NA,150696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
CANOE_2003,CANOE_2003_9,2003,Coast,Humboldt-Del Norte,NA,CANOE,2003-09-03,2003-09-25,CDF,11036,NA,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
LIGHTNING HONEYDEW_2003,LIGHTNING HONEYDEW_2003_9,2003,Coast,Humboldt-Del Norte,NA,LIGHTNING HONEYDEW,2003-09-03,2003-09-03,CDF,13846,NA,W,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
DEL PUERTO CANYON_2003,DEL PUERTO CANYON_2003_5,2003,Coast,Santa Clara,NA,DEL PUERTO CANYON,2003-05-29,2003-05-29,CDF,597,NA,B,Debris Burning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
BIRD_2003,BIRD_2003_6,2003,Coast,Santa Clara,NA,BIRD,2003-06-01,2003-06-01,CDF,6804,NA,GB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
DEL PUERTO_2003,DEL PUERTO_2003_7,2003,Coast,Santa Clara,NA,DEL PUERTO,2003-07-20,2003-07-25,CDF,5170,NA,GB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
HOOVER_2003,HOOVER_2003_8,2003,Coast,Santa Clara,NA,HOOVER,2003-08-04,2003-08-04,CDF,2000,NA,W,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
SANTA CLARA COMPLEX_2003,SANTA CLARA COMPLEX_2003_8,2003,Coast,Santa Clara,NA,SANTA CLARA COMPLEX,2003-08-25,2003-09-02,CDF,30170,NA,GWB,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
FOURTY_2003,FOURTY_2003_7,2003,Coast,Sonoma-Lake-Napa,NA,FOURTY,2003-07-01,2003-07-01,CDF,300,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
40_2003,40_2003_9,2003,Coast,Sonoma-Lake-Napa,NA,40,2003-09-03,2003-09-03,CDF,1400,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
MNF 964 ASSIST_2003,MNF 964 ASSIST_2003_9,2003,Coast,Sonoma-Lake-Napa,NA,MNF 964 ASSIST,2003-09-03,2003-09-10,OTHER,NA,3500,W,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
HWY 70_2003,HWY 70_2003_6,2003,Cascade,Butte,NA,HWY 70,2003-06-24,2003-06-24,LOC,NA,368,G,Vehicle,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
A3_2003,A3_2003_7,2003,Cascade,Lassen-Modoc,NA,A3,2003-07-02,2003-07-02,CDF,1100,NA,G,Equipment use,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
WHITMORE_2003,WHITMORE_2003_10,2003,Cascade,Shasta-Trinity,NA,WHITMORE,2003-10-27,2003-10-30,OTHER,NA,1200,T,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
LOCAL_2003,LOCAL_2003_2,2003,South,Riverside,NA,LOCAL,2003-02-23,2003-02-23,LOC,NA,12000,A,Debris Burning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
STAGE_2003,STAGE_2003_7,2003,South,Riverside,NA,STAGE,2003-07-04,2003-07-04,CDF,1700,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
LOCAL_2003,LOCAL_2003_7,2003,South,Riverside,NA,LOCAL,2003-07-22,2003-07-22,LOC,NA,2020,G,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
CANYON_2003,CANYON_2003_7,2003,South,Riverside,NA,CANYON,2003-07-25,2003-07-27,OTHER,NA,4336,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
LOCUST_2003,LOCUST_2003_8,2003,South,Riverside,NA,LOCUST,2003-08-18,2003-08-20,CDF,1898,NA,G,Equipment use,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,8
PASS_2003,PASS_2003_10,2003,South,Riverside,NA,PASS,2003-10-21,2003-10-23,CDF,2189,208,B,Arson,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,10
MOUNTAIN_2003,MOUNTAIN_2003_10,2003,South,Riverside,NA,MOUNTAIN,2003-10-26,2003-10-29,CDF,10000,NA,GB,Equipment use,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
GRAND PRIX_2003,GRAND PRIX_2003_10,2003,South,San Bernardino,NA,GRAND PRIX,2003-10-21,2003-10-21,OTHER,NA,12289,B,Equipment use,136,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,10
COYOTE_2003,COYOTE_2003_7,2003,South,San Diego,NA,COYOTE,2003-07-16,2003-07-26,CDF,18705,NA,GTWB,Lightning,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
CEDAR_2003,CEDAR_2003_10,2003,South,San Diego,NA,CEDAR,2003-10-25,2003-11-04,CDF,143734,NA,GTWAB,Misc,4847,NA,NA,NA,NA,NA,NA,NA,NA,1,13,10
MINE_2003,MINE_2003_10,2003,South,San Diego,NA,MINE,2003-10-26,2003-10-28,CDF,46000,NA,B,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
PARADISE_2003,PARADISE_2003_10,2003,South,San Diego,NA,PARADISE,2003-10-26,2003-11-06,BIA,NA,56700,B,Equipment use,223,NA,NA,NA,NA,NA,NA,NA,10,NA,2,10
PARKHILL_2003,PARKHILL_2003_7,2003,South,San Luis Obispo,NA,PARKHILL,2003-07-20,2003-07-22,CDF,1200,NA,GAB,Vehicle,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
CHIMNEY INCIDENT_2003,CHIMNEY INCIDENT_2003_8,2003,South,San Luis Obispo,NA,CHIMNEY INCIDENT,2003-08-10,2003-08-11,OTHER,NA,1500,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
F.K.U. 7076_2003,F.K.U. 7076_2003_6,2003,Sierra,Fresno-Kings,NA,F.K.U. 7076,2003-06-19,2003-06-19,LOC,NA,15000,A,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
152_2003,152_2003_6,2003,Sierra,Madera-Mariposa,NA,152,2003-06-15,2003-06-16,CDF,1558,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
HUNTER #9_2003,HUNTER #9_2003_7,2003,Sierra,Madera-Mariposa,NA,HUNTER #9,2003-07-03,2003-07-04,CDF,641,NA,GB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
CREEK_2004,CREEK_2004_8,2004,Coast,Mendocino,NA,CREEK,2004-08-08,2004-08-11,CDF,328,NA,GTB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
KINCAID_2004,KINCAID_2004_8,2004,Coast,Santa Clara,NA,KINCAID,2004-08-08,2004-08-10,CDF,1246,NA,W,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
GEYSERS_2004,GEYSERS_2004_9,2004,Coast,Sonoma-Lake-Napa,NA,GEYSERS,2004-09-03,2004-09-08,CDF,12525,NA,TWB,Equipment use,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
RUMSEY_2004,RUMSEY_2004_10,2004,Coast,Sonoma-Lake-Napa,NA,RUMSEY,2004-10-10,2004-10-16,CDF,39138,NA,B,Undetermined,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10
OREGON_2004,OREGON_2004_8,2004,Cascade,Butte,NA,OREGON,2004-08-11,2004-08-13,OTHER,NA,2030,GWB,Equipment use,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
STRAYLOR_2004,STRAYLOR_2004_7,2004,Cascade,Lassen-Modoc,NA,STRAYLOR,2004-07-22,2004-07-29,CDF,3422,NA,T,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
NOD BBT4_2004,NOD BBT4_2004_8,2004,Cascade,Lassen-Modoc,NA,NOD BBT4,2004-08-13,2004-08-16,OTHER,NA,500,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
STEVENS_2004,STEVENS_2004_8,2004,Cascade,Nevada-Yuba-Placer,NA,STEVENS,2004-08-08,2004-08-12,CDF,934,NA,B,Equipment use,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
BEAR_2004,BEAR_2004_8,2004,Cascade,Shasta-Trinity,NA,BEAR,2004-08-11,2004-08-16,CDF,10848,NA,TW,Equipment use,86,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,8
FRENCH_2004,FRENCH_2004_8,2004,Cascade,Shasta-Trinity,NA,FRENCH,2004-08-14,2004-08-20,CDF,13005,NA,TB,Undetermined,30,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,8
IRONGATE_2004,IRONGATE_2004_7,2004,Cascade,Siskiyou,NA,IRONGATE,2004-07-24,2004-07-26,CDF,2400,NA,W,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
PLEASURE FIRE_2004,PLEASURE FIRE_2004_4,2004,South,Riverside,NA,PLEASURE FIRE,2004-04-25,2004-04-16,OTHER,NA,2464,B,Vehicle,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
EAGLE_2004,EAGLE_2004_5,2004,South,Riverside,NA,EAGLE,2004-05-02,2004-05-07,CDF,8831,NA,B,Equipment use,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
GAFFORD_2004,GAFFORD_2004_5,2004,South,Riverside,NA,GAFFORD,2004-05-02,2004-05-03,CDF,450,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
CERRITO FIRE 681_2004,CERRITO FIRE 681_2004_5,2004,South,Riverside,NA,CERRITO FIRE 681,2004-05-03,2004-05-07,CDF,16460,NA,B,Equipment use,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
COTTONWOOD_2004,COTTONWOOD_2004_5,2004,South,Riverside,NA,COTTONWOOD,2004-05-12,2004-05-15,BLM,NA,1845,GTB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
VERBENIA_2004,VERBENIA_2004_7,2004,South,Riverside,NA,VERBENIA,2004-07-11,2004-07-16,CDF,3833,NA,GTB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
LAKEVIEW_2004,LAKEVIEW_2004_7,2004,South,Riverside,NA,LAKEVIEW,2004-07-13,2004-07-13,CDF,350,NA,B,Misc,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
MELTON_2004,MELTON_2004_7,2004,South,Riverside,NA,MELTON,2004-07-17,2004-07-20,OTHER,NA,3667,B,Misc,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
WARNER_2004,WARNER_2004_7,2004,South,San Diego,NA,WARNER,2004-07-01,2004-07-01,CDF,600,NA,B,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
MATAGUAY_2004,MATAGUAY_2004_7,2004,South,San Diego,NA,MATAGUAY,2004-07-13,2004-07-15,CDF,8649,NA,GB,Arson,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
BORDER #16_2004,BORDER #16_2004_9,2004,South,San Diego,NA,BORDER #16,2004-09-13,2004-09-13,CDF,965,NA,B,Undetermined,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
FKU 7654_2004,FKU 7654_2004_6,2004,Sierra,Fresno-Kings,NA,FKU 7654,2004-06-26,2004-06-26,LOC,NA,5000,A,Debris Burning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
GATOS_2004,GATOS_2004_7,2004,Sierra,Fresno-Kings,NA,GATOS,2004-07-11,2004-07-13,CDF,1307,NA,GB,Equipment use,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7
BEAR_2004,BEAR_2004_9,2004,Sierra,Madera-Mariposa,NA,BEAR,2004-09-02,2004-09-04,CDF,400,NA,B,Undetermined,5,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,9
OLD HIGHWAY_2004,OLD HIGHWAY_2004_9,2004,Sierra,Madera-Mariposa,NA,OLD HIGHWAY,2004-09-12,2004-09-15,CDF,1347,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
ARMSTRONG #2_2004,ARMSTRONG #2_2004_8,2004,Sierra,Tuolumne-Calaveras,NA,ARMSTRONG #2,2004-08-06,2004-08-14,CDF,879,NA,B,Arson,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
HWY 4 #2_2004,HWY 4 #2_2004_8,2004,Sierra,Tuolumne-Calaveras,NA,HWY 4 #2,2004-08-06,2004-08-09,CDF,3443,NA,GWB,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
HUNT_2004,HUNT_2004_8,2004,Sierra,Tuolumne-Calaveras,NA,HUNT,2004-08-10,2004-08-12,CDF,600,NA,B,Equipment use,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
PATTISON_2004,PATTISON_2004_9,2004,Sierra,Tuolumne-Calaveras,NA,PATTISON,2004-09-03,2004-09-05,CDF,2476,NA,GB,Vehicle,62,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,9
TESLA_2005,TESLA_2005_7,2005,Coast,Santa Clara,NA,TESLA,2005-07-19,2005-07-20,CDF,6744,NA,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7
CLOVER_2005,CLOVER_2005_9,2005,Coast,Sonoma-Lake-Napa,NA,CLOVER,2005-09-16,2005-09-17,CDF,751,NA,WB,Undetermined,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
RUMSEY SERIES #3_2005,RUMSEY SERIES #3_2005_10,2005,Coast,Sonoma-Lake-Napa,NA,RUMSEY SERIES #3,2005-10-11,2005-10-12,CDF,451,NA,GB,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
36-2_2005,36-2_2005_8,2005,Cascade,Tehama-Glenn,NA,36-2,2005-08-10,2005-08-11,CDF,2700,NA,W,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
MANTON_2005,MANTON_2005_8,2005,Cascade,Tehama-Glenn,NA,MANTON,2005-08-26,2005-08-29,CDF,1830,NA,B,Vehicle,29,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8
SOBOBA_2005,SOBOBA_2005_6,2005,South,Riverside,NA,SOBOBA,2005-06-22,2005-06-24,CDF,2000,NA,GB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
STATE FIRE_2005,STATE FIRE_2005_9,2005,South,Riverside,NA,STATE FIRE,2005-09-28,2005-09-28,CDF,1100,NA,B,Misc,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
WOODHOUSE_2005,WOODHOUSE_2005_10,2005,South,Riverside,NA,WOODHOUSE,2005-10-05,2005-10-07,CDF,6500,NA,B,Railroad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
PARADISE_2005,PARADISE_2005_6,2005,South,San Bernardino,NA,PARADISE,2005-06-22,2005-06-25,CDF,3082,NA,B,Undetermined,6,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,6
PIONEER_2005,PIONEER_2005_6,2005,South,San Bernardino,NA,PIONEER,2005-06-18,2005-06-19,OTHER,NA,1876,GB,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
BORDER #50_2005,BORDER #50_2005_10,2005,South,San Diego,NA,BORDER #50,2005-10-05,2005-10-08,CDF,4103,NA,TB,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
VOLCAN_2005,VOLCAN_2005_9,2005,South,San Diego,NA,VOLCAN,2005-09-06,2005-09-11,CDF,685,NA,T,Vehicle,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
FIVE_2005,FIVE_2005_6,2005,Sierra,Fresno-Kings,NA,FIVE,2005-06-04,2005-06-05,CDF,5514,NA,G,Vehicle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
COWPIE_2005,COWPIE_2005_8,2005,Sierra,Madera-Mariposa,NA,COWPIE,2005-08-01,2005-08-01,CDF,3200,NA,G,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
QUARTZ_2005,QUARTZ_2005_7,2005,Sierra,Madera-Mariposa,NA,QUARTZ,2005-07-25,2005-07-27,CDF,550,NA,B,Equipment use,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
CABEU003316_2005,CABEU003316_2005_9,2005,Sierra,San Benito-Monterey,NA,CABEU003316,2005-09-04,2005-09-05,OTHER,NA,1393,GB,Vehicle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
MILLWOOD_2005,MILLWOOD_2005_7,2005,Sierra,Tulare,NA,MILLWOOD,2005-07-07,2005-07-07,CDF,2600,NA,W,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
PINE_2005,PINE_2005_9,2005,Sierra,Tulare,NA,PINE,2005-09-19,2005-09-19,CDF,1600,NA,W,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
TOPANGA_2005,TOPANGA_2005_9,2005,NA,NA,NA,TOPANGA,2005-09-28,NA,CDF,24175,NA,NA,Unidentified,13,NA,NA,Los Angeles/Ventura,NA,NA,NA,NA,NA,NA,NA,9
NOBLE_2006,NOBLE_2006_9,2006,Coast,Mendocino,NA,NOBLE,2006-09-24,2006-09-30,BLM,0,1014,T,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
CANYON_2006,CANYON_2006_7,2006,Coast,Santa Clara,NA,CANYON,2006-07-09,2006-07-17,CDF,34000,0,GWB,Equipment use,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7
DEL PUERTO_2006,DEL PUERTO_2006_6,2006,Coast,Santa Clara,NA,DEL PUERTO,2006-06-30,2006-07-03,CDF,2593,0,GWB,Debris Burning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
MIDWAY_2006,MIDWAY_2006_7,2006,Coast,Santa Clara,NA,MIDWAY,2006-07-11,2006-01-01,CDF,6400,0,A,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,7
29_2006,29_2006_7,2006,Coast,Sonoma-Lake-Napa,NA,29,2006-07-17,2006-07-21,CDF,550,0,TWB,Vehicle,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
NAPA_2006,NAPA_2006_9,2006,Coast,Sonoma-Lake-Napa,NA,NAPA,2006-09-22,2006-09-24,CDF,387,0,GTWB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
CHENEY_2006,CHENEY_2006_6,2006,Cascade,Lassen-Modoc,NA,CHENEY,2006-06-26,2006-06-27,CDF,565,35,GTWAB,Equipment use,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
CREEK_2006,CREEK_2006_7,2006,Cascade,Lassen-Modoc,NA,CREEK,2006-07-18,2006-07-21,CDF,1234,0,T,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
LIGHTNING #53_2006,LIGHTNING #53_2006_6,2006,Cascade,Lassen-Modoc,NA,LIGHTNING #53,2006-06-27,2006-06-27,CDF,450,0,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
LIGHTNING #11_2006,LIGHTNING #11_2006_6,2006,Cascade,Lassen-Modoc,NA,LIGHTNING #11,2006-06-26,2006-06-26,CDF,21,626,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
LIGHTNING #17_2006,LIGHTNING #17_2006_6,2006,Cascade,Lassen-Modoc,NA,LIGHTNING #17,2006-06-26,2006-06-27,CDF,10,490,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
LIGHTNING #26_2006,LIGHTNING #26_2006_6,2006,Cascade,Lassen-Modoc,NA,LIGHTNING #26,2006-06-27,2006-07-01,USFS,0,300,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
MARYSVILLE_2006,MARYSVILLE_2006_8,2006,Cascade,Nevada-Yuba-Placer,NA,MARYSVILLE,2006-08-16,2006-08-17,CDF,388,0,TB,Equipment use,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
JUNCTION_2006,JUNCTION_2006_7,2006,Cascade,Shasta-Trinity,NA,JUNCTION,2006-07-29,2006-07-29,CDF,3126,0,W,Misc,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
HOTLUM_2006,HOTLUM_2006_2,2006,Cascade,Siskiyou,NA,HOTLUM,2006-02-25,2006-02-27,CDF,1521,0,B,Misc,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
KNF ASSIST #11 (UNCLES COMPLEX)_2006,KNF ASSIST #11 (UNCLES COMPLEX)_2006_7,2006,Cascade,Siskiyou,NA,KNF ASSIST #11 (UNCLES COMPLEX),2006-07-24,2006-07-24,OTHER,0,9785,T,Lightning,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
KNF ASSIST #12 (HAPPY CAMP)_2006,KNF ASSIST #12 (HAPPY CAMP)_2006_7,2006,Cascade,Siskiyou,NA,KNF ASSIST #12 (HAPPY CAMP),2006-07-25,2006-07-25,OTHER,0,3318,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7
CORT_2006,CORT_2006_6,2006,South,Riverside,NA,CORT,2006-06-03,2006-06-04,OTHER,0,362,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
COYOTE FIRE_2006,COYOTE FIRE_2006_7,2006,South,Riverside,NA,COYOTE FIRE,2006-07-23,2006-07-26,CDF,467,0,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
ESPERANZA-STATE_2006,ESPERANZA-STATE_2006_10,2006,South,Riverside,NA,ESPERANZA-STATE,2006-10-26,2006-10-31,CDF,40200,0,GWB,Arson,54,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,10
ORCHARD_2006,ORCHARD_2006_9,2006,South,Riverside,NA,ORCHARD,2006-09-16,2006-09-16,CDF,1580,0,G,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
RANCH_2006,RANCH_2006_9,2006,South,Riverside,NA,RANCH,2006-09-17,2006-09-17,CDF,1200,0,GB,Misc,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,9
SUNRISE_2006,SUNRISE_2006_10,2006,South,Riverside,NA,SUNRISE,2006-10-13,2006-10-14,CDF,497,0,B,Vehicle,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,10
ABERDEEN_2006,ABERDEEN_2006_6,2006,South,San Bernardino,NA,ABERDEEN,2006-06-07,2006-06-07,OTHER,0,357,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
GOODALE_2006,GOODALE_2006_6,2006,South,San Bernardino,NA,GOODALE,2006-06-26,2006-06-29,OTHER,0,3750,B,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
SAWTOOTH_2006,SAWTOOTH_2006_7,2006,South,San Bernardino,NA,SAWTOOTH,2006-07-09,2006-07-20,OTHER,0,62000,G,Other,273,NA,NA,NA,NA,NA,NA,NA,14,NA,1,7
WHISPERING PINES_2006,WHISPERING PINES_2006_7,2006,South,San Bernardino,NA,WHISPERING PINES,2006-07-22,2006-07-26,OTHER,0,993,B,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
BORDER FIRE #16_2006,BORDER FIRE #16_2006_7,2006,South,San Diego,NA,BORDER FIRE #16,2006-07-20,2006-07-20,CDF,315,0,B,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
SHEKELL_2006,SHEKELL_2006_12,2006,South,Ventura,NA,SHEKELL,2006-12-03,2006-12-05,CDF,13600,0,G,Undetermined,7,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,12
WESTSIDE_2006,WESTSIDE_2006_12,2006,South,Kern,NA,WESTSIDE,2006-12-07,2006-12-09,CDF,4025,0,G,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
ALMAZAN_2006,ALMAZAN_2006_5,2006,Sierra,Fresno-Kings,NA,ALMAZAN,2006-05-13,2006-05-14,CDF,1964,0,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
BLM - 2_2006,BLM - 2_2006_7,2006,Sierra,Fresno-Kings,NA,BLM - 2,2006-07-22,2006-07-22,OTHER,0,8400,G,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
PHELPS_2006,PHELPS_2006_10,2006,Sierra,Fresno-Kings,NA,PHELPS,2006-10-25,2006-10-25,LOCAL,0,1600,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
OLIVE_2006,OLIVE_2006_7,2006,Sierra,Madera-Mariposa,NA,OLIVE,2006-07-21,2006-07-21,LOCAL,0,25000,A,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
