Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
1980,V,San Benito-Monterey,SHIRTAIL,9/23/1980,9/24/1980,CDF,2060,0,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,V,San Mateo-Santa Cruz,BIG BASIN #7,11/16/1980,11/19/1980,CDF,335,0,TB,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,V,Santa Clara,DEL PUERTO CANYON,7/30/1980,7/31/1980,CDF,1400,0,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,V,Santa Clara,ALHAMBRA SERIES 1-7,8/8/1980,8/8/1980,CDF,523,0,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,V,Santa Clara,WHEEL,10/10/1980,10/10/1980,CDF,1500,0,BGA,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,LINK,6/21/1980,6/22/1980,CDF,725,0,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,SCENIC,6/29/1980,6/30/1980,CDF,650,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,BOX,7/13/1980,7/14/1980,CDF,800,0,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,DELL,7/20/1980,7/20/1980,CDF,496,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,LAVIDA,7/27/1980,7/29/1980,USFS,300,8000,B,Play W/Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,RIVERSIDE,7/28/1980,7/29/1980,CDF,500,0,B,Lightning,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,MISSION CREEK,7/28/1980,7/31/1980,CDF,1250,0,BG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,DRY FALLS,8/26/1980,9/6/1980,CITY,22820,5835,B,Play W/Fire,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,HORSE,9/16/1980,9/18/1980,USFS,20,600,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,RAILROAD,9/29/1980,9/29/1980,CDF,1200,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,TREMONT 1-4,10/2/1980,10/2/1980,CDF,309,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,OWL,10/28/1980,10/30/1980,CDF,13293,0,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,TURNER,11/16/1980,11/20/1980,CDF,7500,20500,BGA,Arson,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,LAKELAND FIRE,11/25/1980,11/28/1980,CDF,8400,0,B,Arson,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,Riverside,INDIAN,11/24/1980,12/2/1980,CDF,1280,36920,BG,Arson,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,DAGGER,4/11/1980,4/14/1980,USFS,0,750,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,MONROE,4/11/1980,4/14/1980,USFS,0,3000,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,PROVIDENCE,6/29/1980,6/29/1980,BLM,0,1200,TBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,LITTLE ROCK,7/4/1980,7/6/1980,USFS,0,1060,B,Fireworks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,QUARRY,7/7/1980,7/7/1980,BLM,0,900,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,EABY,7/12/1980,7/12/1980,CDF,366,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,PIPES,7/20/1980,7/22/1980,CDF,2070,0,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,KIOWA,7/24/1980,7/25/1980,CDF,640,1600,B,Lightning,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,FAIRVIEW,7/27/1980,7/30/1980,BLM,0,11140,G,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,ALMOND,7/27/1980,7/29/1980,BLM,0,8250,G,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,COXEY,7/28/1980,7/29/1980,USFS,0,355,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,POWERLINE,7/30/1980,7/30/1980,CDF,700,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,SKYLINE,8/29/1980,8/29/1980,CDF,570,0,B,Play W/Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,DAM,9/27/1980,9/29/1980,NF,0,5800,B,Other Rec.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,STODDARD SERIES,9/28/1980,9/28/1980,CDF,350,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,JONES,10/19/1980,10/20/1980,USFS,0,780,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,PRADO,10/27/1980,10/28/1980,CDF,1500,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,HILL,10/28/1980,10/29/1980,CC,0,8700,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,SOUTH MOUNTAIN,10/29/1980,10/30/1980,CC,0,3600,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,STABLE,11/15/1980,11/19/1980,USFS,0,6066,B,Cooking Fire,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,WINDY,11/16/1980,11/17/1980,USFS,0,335,BT,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,THUNDER,11/24/1980,11/30/1980,USFS,0,11500,B,Equipment use,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,PANORAMA,11/24/1980,11/30/1980,USFS,125,23475,B,Arson,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,SYCAMORE,11/24/1980,11/27/1980,CDF,195,2160,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Bernardino,SUMMIT,11/25/1980,11/29/1980,CDF,2191,1406,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Diego,SALVADOR,7/4/1980,7/6/1980,CDF,2800,0,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Diego,OTAY #6,7/19/1980,7/20/1980,CDF,3210,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Diego,LIGHTNING SERIES,7/28/1980,8/3/1980,CDF,7436,0,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Diego,ASSIST #69,8/5/1980,8/5/1980,CITY,0,615,N/A,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Diego,ASSIST #73,8/10/1980,8/10/1980,CITY,0,350,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Diego,ASSIST #85,9/1/1980,9/2/1980,USFS,0,685,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,VI,San Diego,ASSIST #138,11/25/1980,11/25/1980,CITY,0,800,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
