Fire_name_year,Year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
PROCTOR_1984,1984,VI,San Diego,NA,PROCTOR,NA,NA,CDF,2563,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOWLES_1984,1984,VI,San Diego,NA,BOWLES,0009-06-19,0009-08-19,CDF,2836,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIDDEN VALLEY_1985,1985,I,Lake-Napa,NA,HIDDEN VALLEY,0007-09-19,0007-11-19,CDF,1250,NA,WB,Misc,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGIC_1985,1985,I,Lake-Napa,NA,MAGIC,0007-10-19,0007-11-19,CDF,357,NA,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MILLER_1985,1985,I,Lake-Napa,NA,MILLER,NA,0009-02-19,CDF,2080,NA,WG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BALD MT._1985,1985,I,Lake-Napa,NA,BALD MT.,0010-08-19,0010-09-19,CDF,5280,NA,WG,Electrical power,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRON PEAK_1985,1985,I,Mendocino,NA,IRON PEAK,0007-09-19,0007-10-19,CDF,529,NA,TW,Railroad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROCK CREEK_1985,1985,II,Butte,NA,ROCK CREEK,0006-11-19,0006-12-19,CDF,1650,NA,B,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MURRER_1985,1985,II,Lassen-Modoc,NA,MURRER,0007-08-19,0007-10-19,CDF,1055,NA,T,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BASS_1985,1985,II,Lassen-Modoc,NA,BASS,0008-07-19,0008-07-19,CDF,2445,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USFS #20_1985,1985,II,Shasta-Trinity,NA,USFS #20,NA,NA,USFS,NA,1620,C,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USFS #29_1985,1985,II,Shasta-Trinity,NA,USFS #29,NA,0008-04-19,USFS,NA,3900,TB,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLUENOSE_1985,1985,II,Shasta-Trinity,NA,BLUENOSE,NA,NA,CDF,312,NA,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USFS #33_1985,1985,II,Shasta-Trinity,NA,USFS #33,NA,0008-01-19,USFS,NA,1202,TB,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMADOR_1985,1985,IV,Amador-El Dorado,NA,AMADOR,0007-09-19,0007-09-19,CDF,652,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 MILE_1985,1985,IV,Amador-El Dorado,NA,8 MILE,0008-09-19,0008-09-19,CDF,462,NA,W,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANOCHE_1985,1985,IV,Fresno-Kings,NA,PANOCHE,0006-09-19,0006-10-19,CDF,5580,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BACKBONE_1985,1985,IV,Fresno-Kings,NA,BACKBONE,0006-10-19,NA,CDF,425,NA,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOS GATOS SERIES_1985,1985,IV,Fresno-Kings,NA,LOS GATOS SERIES,0007-06-19,NA,CDF,27562,NA,WBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYCAMORE_1985,1985,IV,Fresno-Kings,NA,SYCAMORE,NA,0008-08-19,CDF,415,997,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STAN. #7_1985,1985,IV,Madera-Mariposa,NA,STAN. #7,0008-02-19,0008-12-19,USFS,NA,1019,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALLS #2_1985,1985,IV,Madera-Mariposa,NA,FALLS #2,0008-12-19,NA,CDF,3000,NA,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USFS #5_1985,1985,IV,Tulare,NA,USFS #5,NA,0007-04-19,USFS,NA,8100,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRIZZLY_1985,1985,IV,Tuolumne-Calaveras,NA,GRIZZLY,0007-03-19,0007-04-19,CDF,530,NA,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GANN_1985,1985,IV,Tuolumne-Calaveras,NA,GANN,0007-04-19,0007-04-19,CDF,915,NA,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOWES_1985,1985,V,San Benito-Monterey,NA,LOWES,0007-02-19,0007-04-19,CDF,2670,NA,WBGA,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SECO_1985,1985,V,San Benito-Monterey,NA,SECO,0007-02-19,0007-05-19,CDF,875,1070,WBG,Arson,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIGHTNING SERIES_1985,1985,V,San Benito-Monterey,NA,LIGHTNING SERIES,0007-06-19,0007-09-19,CDF,9534,NA,WBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GORDA-RAT_1985,1985,V,San Benito-Monterey,NA,GORDA-RAT,0007-06-19,NA,USFS,NA,55889,BG,Lightning,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHERRY_1985,1985,V,San Benito-Monterey,NA,CHERRY,0007-08-19,NA,CDF,31041,9190,WBG,Arson,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAS PILITAS_1985,1985,V,San Luis Obispo,NA,LAS PILITAS,0007-01-19,0007-10-19,CDF,49375,25265,WBG,Equipment use,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HWY 58 #2_1985,1985,V,San Luis Obispo,NA,HWY 58 #2,NA,NA,CDF,700,NA,BG,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LEXINGTON_1985,1985,V,Santa Clara,NA,LEXINGTON,0007-09-19,NA,CDF,13800,NA,TBG,Arson,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FINLEY_1985,1985,V,Santa Clara,NA,FINLEY,0007-08-19,0007-10-19,CDF,2250,NA,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ONION_1985,1985,VI,Owens Valley,NA,ONION,0007-06-19,0007-09-19,BLM,300,9500,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OWENS_1985,1985,VI,Owens Valley,NA,OWENS,0008-08-19,0008-10-19,USFS,160,3580,BG,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CABAZON_1985,1985,VI,Riverside,NA,CABAZON,NA,0007-07-19,CDF,3111,17269,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAVALIN_1985,1985,VI,Riverside,NA,GAVALIN,0007-02-19,0007-02-19,CDF,473,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORCO ASSIST_1985,1985,VI,Riverside,NA,ORCO ASSIST,0007-02-19,0007-03-19,CC,750,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKINNER_1985,1985,VI,Riverside,NA,SKINNER,0008-08-19,0008-10-19,CDF,978,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHELL_1985,1985,VI,Riverside,NA,SHELL,0008-11-19,NA,CC,NA,1440,BG,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PALA_1985,1985,VI,Riverside,NA,PALA,NA,NA,CDF,325,NA,B,Arson,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH MOUNTAIN_1985,1985,VI,Ventura County,NA,SOUTH MOUNTAIN,NA,0007-03-19,CC,NA,600,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHEELER_1985,1985,VI,Ventura County,Los Padres,WHEELER,0007-01-19,NA,CC,NA,120000,B,Arson,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PARSONS_1985,1985,VI,San Bernardino,NA,PARSONS,0007-03-19,0007-04-19,CDF,1170,NA,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLACK MOUNTAIN_1985,1985,VI,Ventura County,NA,BLACK MOUNTAIN,0007-03-19,0007-05-19,CC,NA,1200,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARCHIBALD_1985,1985,VI,San Bernardino,NA,ARCHIBALD,0010-05-19,0010-07-19,CDF,500,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIONEER_1985,1985,VI,Ventura County,NA,PIONEER,NA,NA,CC,NA,1200,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERNDALE_1985,1985,VI,Ventura County,NA,FERNDALE,NA,NA,CC,NA,33890,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DECKER_1985,1985,VI,Los Angeles County,NA,DECKER,NA,NA,CC,NA,11000,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUMMINGBIRD_1985,1985,VI,Ventura County,NA,HUMMINGBIRD,NA,NA,CC,NA,1600,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLEASON_1985,1985,VI,Angeles NF,NA,GLEASON,NA,NA,USFS,NA,1200,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MILLER_1985,1985,VI,San Diego,NA,MILLER,NA,0007-01-19,CDF,8000,NA,B,Debris,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOPHER_1985,1985,VI,San Diego,NA,GOPHER,0007-01-19,0007-03-19,CDF,1200,NA,B,Misc,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROBLAR_1985,1985,VI,San Diego,NA,ROBLAR,0007-01-19,0007-05-19,MILITARY,1225,7200,BGA,Weapons,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEER_1985,1985,VI,San Diego,NA,DEER,0007-02-19,0007-02-19,CDF,380,140,B,Arson,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYCAMORE_1985,1985,VI,San Diego,NA,SYCAMORE,NA,NA,CDF,1060,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST #38_1985,1985,VI,San Diego,NA,ASSIST #38,0010-05-19,0010-06-19,MILITARY,NA,1200,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNOPKI_1986,1986,I,Six Rivers NF,NA,KNOPKI,NA,NA,USFS,NA,354,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SITES_1986,1986,I,Lake-Napa,NA,SITES,0011-10-19,0011-10-19,CDF,1600,NA,WG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
