Year,Incident_number,County,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2016,SKU-7392,Siskiyou,Grade,8/24/2016,9/10/2016,Cal Fire,710,NA,BGT,Electrical Power,10,1,0,0
2016,TCU-9339,Calaveras,Willow,8/28/2016,9/4/2016,Cal Fire,450,NA,BGT,Vehicle,0,1,0,0
2016,RRU-105125,Riverside,Bogart,8/30/2016,9/5/2016,Cal Fire,1470,NA,BG,Undetermined,1,0,0,0
2016,KRN-32226,Kern,Range,8/26/2016,8/31/2016,CC,NA,600,BGT,Human,0,0,0,0
2016,KRN-32375,Kern,Havila,8/27/2016,8/31/2016,CC,NA,304,BG,Undetermined,0,0,0,0
2016,BTU-13655,Butte,Saddle,9/5/2016,9/22/2016,Cal Fire,800,NA,BGT,Vehicle,3,0,0,0
2016,LMU-4700,Modoc,Howard,9/11/2016,9/15/2016,Cal Fire,380,NA,BGT,Railroad,0,0,0,0
2016,LMU-4695,Lassen,Willard,9/11/2016,10/12/2016,Cal Fire,2575,NA,BGT,Undetermined,7,0,0,0
2016,TGU-8080,Tehama,Hog,9/13/2016,9/13/2016,Cal Fire,321,NA,BGT,Electrical Power,0,0,0,0
2016,KRN-35570,Kern,Flat,9/19/2016,9/22/2016,CC,NA,307,G,Equipment,0,0,0,0
2016,LNU-9129,Sonoma,Sawmill,9/25/2016,10/1/2016,Cal Fire,1547,NA,BG,Undetermined,0,0,0,0
2016,TCU-10403,Tuolumne,Marshes,9/26/2016,10/4/2016,Cal Fire,1080,NA,BGT,Vehicle,0,0,0,0
2016,SCU-6912,Santa Clara,Loma,9/26/2016,11/8/2016,Cal Fire,4474,NA,BT,Undetermined,28,1,0,0
2016,SCU-5280,San Luis Obispo,Camp Roberts,5/18/2016,5/20/2016,MIL,NA,3712,G,Undetermined,0,0,0,0
2016,CND-1134,Tulare,Chimney,6/1/2016,6/7/2016,BLM,NA,1324,BG,Human,0,0,0,0
2016,FHL-1475,Monterey,Stony,6/2/2016,6/17/2016,USFS,NA,3000,BG,Undetermined,0,0,0,0
2016,CND-1171,San Luis Obispo,Soda,6/4/2016,6/6/2016,BLM,NA,2003,BG,Undetermined,0,0,0,0
2016,LAC-457,Los Angeles,Old,6/4/2016,6/10/2016,LOCAL,NA,465,BG,Undetermined,9,1,0,0
2016,LPF-1504,Monterey,Coleman,6/4/2016,6/17/2016,USFS,NA,2520,BG,Undetermined,1,0,0,0
2016,KNF-4500,Siskiyou,Pony,6/7/2016,10/2/2016,USFS,NA,2860,BT,Undetermined,0,0,0,0
2016,SBC-7344,Santa Barabara,Sherpa,6/15/2016,6/23/2016,USFS,NA,7474,BG,Undetermined,5,0,0,0
2016,ANF-2417,Los Angeles,Reservoir,6/20/2016,7/5/2016,USFS,NA,1146,BG,Human,0,0,0,1
2016,LAC-177288,Los Angeles,Fish,6/20/2016,7/5/2016,USFS,NA,4253,BG,Human,0,0,0,0
2016,CND-1415,Kern,Erskine,6/23/2016,7/9/2016,USFS,NA,48019,BGT,Undetermined,286,12,0,2
2016,INF-992,Mono,Marina,6/24/2016,7/4/2016,USFS,NA,654,BT,Undetermined,1,0,0,0
2016,YNP-41,Mariposa,Lakes,6/26/2016,10/31/2016,NPS,NA,1001,BT,Lightning,0,0,0,0
2016,LPF-1986,Ventura,Pine,6/30/2016,7/17/2016,USFS,NA,2304,BT,Undetermined,0,0,0,0
2016,MCP-2125,San Diego,Roblar,7/21/2016,7/27/2016,MIL,NA,1245,BG,Undetermined,0,0,0,0
2016,ANF-3008,Los Angeles,Sand,7/22/2016,8/6/2016,USFS,NA,41383,BGT,Undetermined,116,20,0,1
2016,INF-1415,Mono,Clark,8/4/2016,8/12/2016,USFS,NA,2819,BGT,Lightning,0,0,0,0
2016,BDF-10205,San Bernardino,Pilot,8/7/2016,8/16/2016,USFS,NA,8110,BGT,Undetermined,0,0,0,0
2016,INF-1457,Inyo,Horseshoe,8/9/2016,8/17/2016,USFS,NA,369,BT,Undetermined,0,0,0,0
2016,SQF-2595,Kern,Cedar,8/16/2016,9/24/2016,USFS,NA,29322,BT,Undetermined,6,0,0,0
2016,BDF-10468,San Bernardino,Bluecut,8/16/2016,9/8/2016,USFS,NA,36274,BGT,Undetermined,321,8,0,0
2016,LPF-2809,Santa Barbara,Rey,8/18/2016,9/15/2016,USFS,NA,32606,BG,Undetermined,5,0,0,0
2016,STF-2257,Alpine,Mokelumne,8/19/2016,9/20/2016,USFS,NA,655,BGT,Lightning,0,0,0,0
2016,SQF-2683,Tulare,Tule,8/22/2016,8/22/2016,USFS,NA,395,BGT,Undetermined,0,0,0,0
2016,KNF-7501,Siskiyou,Gap,8/27/2016,9/16/2016,USFS,NA,33867,BT,Undetermined,14,0,0,0
2016,SNF-2154,Fresno,Crown,9/15/2016,10/31/2016,USFS,NA,800,T,Lightning,0,0,0,0
2016,AFV-3151,Santa Barbara,Canyon,9/17/2016,9/24/2016,MIL,NA,12742,B,Undetermined,0,0,1,0
2016,MDF-910,Modoc,Soup Complex,9/17/2016,10/31/2016,USFS,NA,2722,GT,Undetermined,0,0,0,0
2016,INF-1763,Mono,Owens River,9/17/2016,10/15/2016,USFS,NA,5443,BGT,Undetermined,4,0,0,0
2016,SQF-3261,Tulare,Slate,10/4/2016,11/5/2016,USFS,NA,2160,BT,Lightning,0,0,0,0
2016,SNF-2370,Fresno,Sacata,10/11/2016,10/19/2016,USFS,NA,2100,BGT,Undetermined,0,0,0,0
2016,SQF-3384,Tulare,Jacobson,10/20/2016,11/1/2016,USFS,NA,1702,BT,Undetermined,0,0,0,0
2016,SQF-3456,Tulare,Meadow,10/29/2016,11/22/2016,USFS,NA,4347,BT,Lightning,0,0,0,0
2016,SQF-3464,Tulare,Hidden,11/2/2016,11/23/2016,USFS,NA,2768,BT,Lightning,0,0,0,0
