Year,FIRE_NAME,EXPECT_MATCH_2,DPA,Ranger_unit,County,Start,Contained,CDF_acres_burned,Other_acres_burned,Region,Ranger_unit2,County2,County3,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1979,PASEO,,CDF,Riverside,NA,9/15/1979,9/15/1979,3700,0,VI,NA,NA,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1979,PEORIA MTN.,,CDF,Tuolumne-Calaveras,NA,6/16/1979,6/16/1979,450,0,IV,NA,NA,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,RANCHO,,CDF,Riverside,NA,9/13/1979,9/13/1979,500,0,VI,NA,NA,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1979,RANDOLPH,,USFS,Cleveland NF,NA,7/17/1979,7/17/1979,0,400,VI,NA,NA,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1979,RAWSON,,CDF,Riverside,NA,8/18/1979,8/19/1979,794,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,RECHE,,CDF,Riverside,NA,6/28/1979,6/29/1979,300,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,RIM,,CDF,Shasta-Trinity,NA,5/15/1979,5/16/1979,310,0,II,NA,NA,NA,T,Debris,NA,NA,NA,NA,NA,NA,NA,NA
1979,RIVER ROAD,,CDF,San Luis Obispo,NA,9/9/1979,9/10/1979,625,125,V,NA,NA,NA,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,ROADSIDE #70-77,,CDF,Nevada-Yuba-Placer,NA,7/10/1979,7/10/1979,1700,0,II,NA,NA,NA,WG,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,ROCKWELL GAP,,CDF,Lake-Napa,NA,9/11/1979,9/12/1979,2500,0,I,NA,NA,NA,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,RUDDELL,1,USFS,San Bernardino NF,NA,7/26/1979,7/26/1979,0,750,VI,NA,NA,NA,TBG,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,RUSSELL,,CDF,Riverside,NA,7/3/1979,7/4/1979,465,0,VI,NA,NA,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA
