FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,Year,Region,Ranger_uni,Ranger_u_1,FIRE_NAM_1,Start,Contained,DPA,CDF_acres_,Other_acre,Veg_type,Cause_1,Destroyed_,Incident_n,National_f,County,County2,County3,Fire_name2,DPA2,Damaged_st,Firefighte,Civilian_f
457,6455,1970,CA,CCO,KRN,POWER HOUSE,1115,5/31/1970 0:00,,14, ,0,918.1660156,0,1,174,9145.603282,3715687.209,1989,IV,Fresno-Kings,NA,POWER HOUSE,NA,0008-01-19,CDF,11600,NA,TB,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,6469,1958,CA,CDF,MVU,BARRETT,0,10/3/1958 0:00,,14, ,0,379.7319946,0,1,266,6465.71072,1536720.134,1991,III,San Diego,NA,BARRETT,NA,NA,CDF,905,746,BG,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
459,6519,1958,CA,CDF,FKU,TYLER,0,8/11/1958 0:00,,14, ,0,318.3089905,0,1,47,4300.376008,1288151.077,1987,NA,NA,NA,TYLER,NA,NA,CDF,450,NA,NA,Arson,0,NA,NA,Mendocino,NA,NA,NA,NA,NA,0,NA
460,6527,1958,CA,CDF,RRU,MILLER,0,8/6/1958 0:00,,14, ,0,1244.829956,0,1,113,11318.33211,5037667.189,1985,I,Lake-Napa,NA,MILLER,NA,0009-02-19,CDF,2080,NA,WG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,6530,1958,CA,CDF,BDU,HUNT,0,7/8/1958 0:00,,14, ,0,763.9680176,0,1,102,10124.50226,3091669.585,1986,IV,Tuolumne-Calaveras,NA,HUNT,0009-11-19,0009-11-19,CDF,380,NA,TWB,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,6537,2001,CA,CDF,TGU,RED,2833,5/31/2001 0:00,,3, ,0,53.2818985,0,1,102,2112.552188,215624.0224,2014,NA,NA,NA,RED,0001-04-20,0001-12-20,CDF,333,NA,TB,Debris Burning,0,HUU-81,NA,Humboldt,NA,NA,NA,NA,0,0,0
463,6549,1985,CA,CCO,ORC,TELEGRAPH,0,,,14, ,0,1634.900024,0,1,0,14405.68947,6616185.712,2008,NA,Madera-Mariposa-Merced,NA,TELEGRAPH,NA,NA,CDF,34091,NA,TBG,Misc,130,NA,NA,NA,NA,NA,NA,NA,NA,0,0
464,6550,1988,CA,CCO,ORC,ORTEGA,0,,,14, ,0,2471.110107,0,1,0,14028.33035,10000221.62,1989,III,Cleveland NF,NA,ORTEGA,NA,NA,USFS,NA,4000,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,6560,1988,CA,CDF,SHU,FERN,4348,9/17/1988 0:00,,14, ,0,7558.080078,0,1,648,30612.67268,30586454.6,1988,II,Shasta-Trinity,NA,FERN,NA,NA,CDF,7790,NA,TBG,Equipment use,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,6571,1988,CA,USF,MNF,BUTTE,0,12/5/1988 0:00,,5, ,100,178.0829926,8,1,55,3576.837078,720678.1951,2015,NA,NA,NA,BUTTE,0009-09-20,NA,CDF,70868,NA,TBG,Electrical power,965,AEU-24918,NA,Amador,NA,NA,NA,NA,0,0,2
467,6572,1989,CA,CDF,TGU,BEEGUM,1918,8/17/1989 0:00,,14, ,0,723.723999,0,1,10201,7915.760503,2928805.611,1989,II,Tehama-Glenn,NA,BEEGUM,NA,NA,CDF,700,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,6573,1989,CA,CDF,LMU,EAGLE,724,7/7/1989 0:00,7/11/1989 0:00,1, ,4400,4665.439941,8,1,57,23523.15224,18880366.99,1984,II,Lassen-Modoc,NA,EAGLE,0008-12-19,NA,CDF,580,NA,T,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,6577,1990,CA,CDF,RRU,CALIFORNIA,0,,,14, ,0,728.2979736,0,1,0,8740.928034,2947317.495,1989,III,Riverside,NA,CALIFORNIA,NA,NA,CDF,505,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,6579,1967,CA,CDF,HUU,ALEXANDER,0,8/3/1967 0:00,,14, ,0,90.6121979,0,1,62,2913.064137,366694.6287,1987,NA,NA,NA,ALEXANDER,NA,NA,CDF,343,NA,NA,Equipment Use,0,NA,NA,Monterey,NA,NA,NA,NA,NA,0,NA
471,6592,1967,CA,CDF,SCU,THOMAS,0,7/8/1967 0:00,,14, ,0,230.7720032,0,1,0000001A,4860.603606,933901.1086,2017,NA,NA,NA,THOMAS,0012-04-20,0001-12-18,CC,NA,281893,BG,Undetermined,1060,VNC-43244,NA,Ventura/Santa Barbara,NA,NA,NA,NA,274,1,1
472,6671,1938,CA,USF,SRF,RIDGE,0,7/18/1938 0:00,,1, ,0,128.0279999,0,1,400548,3194.069497,518112.0041,2001,Coast,Mendocino,NA,RIDGE,NA,NA,CDF,610,NA,TGB,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
473,6684,1939,CA,CDF,TGU,DALE,0,5/11/1939 0:00,,14, ,0,236.9850006,0,1,38,4326.98266,959043.7519,2012,NA,NA,NA,DALE,0007-05-20,0007-07-20,CDF,1083,NA,GB,Undetermined,2,SHU-005135,NA,Shasta,NA,NA,NA,NA,5,0,0
474,6728,1939,CA,USF,SRF,RIDGE,0,8/13/1939 0:00,,5, ,0,2.9874799,0,1,400536,390.2732108,12089.90838,2001,Coast,Mendocino,NA,RIDGE,NA,NA,CDF,610,NA,TGB,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
475,6736,1941,CA,USF,MDF,MAMMOTH,0,7/5/1941 0:00,,9, ,0,15607,0,1,87,40946.47463,63159143.82,2009,NA,Placer,NA,MAMMOTH,NA,NA,CDF,650,NA,G,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
476,6798,1981,CA,USF,CNF,CANYON,0,7/23/1981 0:00,,9, ,0,31.8290005,0,1,22,1453.845435,128807.3562,2003,South,Riverside,NA,CANYON,NA,NA,OTHER,NA,4336,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,6799,1981,CA,CDF,MVU,OTAY #4,899,6/25/1981 0:00,,4, ,0,371.6759949,0,1,344,8303.752327,1504119.989,1994,South,San Diego,NA,OTAY #4,0010-09-19,0010-10-19,CDF,2550,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
478,6807,1981,CA,USF,MDF,BLUE,0,9/18/1981 0:00,9/19/1981 0:00,1, ,73,84.6171036,8,1,42,2587.683482,342433.3186,2011,NA,NA,NA,BLUE,0012-01-20,0012-06-20,CDF,698,NA,T,Other,0,TCU-0010455,NA,Calaveras,NA,NA,NA,NA,0,0,0
479,6810,2001,CA,CDF,AEU,HORIZON,9378,7/1/2001 0:00,,2, ,0,35.027401,0,1,218,1597.231778,141750.8787,1994,Sierra,Yosemite NP,NA,HORIZON,0008-12-19,NA,NPS,NA,3750,N/A,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
480,6831,2003,CA,USF,TNF,CHILCOOT,0,7/20/2003 0:00,7/21/2003 0:00,1,Containment 'fire_day' estimated,5635,5641.609863,0,1,31,32999.69712,22830802.15,2017,NA,NA,NA,CHILCOOT,0008-06-20,0008-08-20,USFS,NA,1021,BG,Lightning,0,TNF-992,NA,Plumas,NA,NA,NA,NA,0,0,0
481,6851,1978,CA,CDF,MVU,COYOTE,0,7/28/1978 0:00,,1, ,0,328.6560059,0,1,347,7870.706985,1330025.5,2003,South,San Diego,NA,COYOTE,NA,NA,CDF,18705,NA,GTWB,Lightning,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,6863,1978,CA,USF,SRF,SOUTH,0,11/9/1978 0:00,,14, ,0,7.9651699,0,1,100642,637.2567889,32233.89445,1999,Coast,Butte,NA,SOUTH,NA,NA,CDF,1572,NA,B,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
483,6866,1978,CA,USF,KNF,BEAR,0,10/21/1978 0:00,,5, ,0,181.8549957,0,1,102,4218.585416,735941.9326,1987,NA,NA,NA,BEAR,NA,0009-12-19,USFS,NA,550,NA,Lightning,0,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA,NA,0,NA
484,6873,1950,CA,CDF,MVU,HARRIS,0,12/22/1950 0:00,,9, ,0,3671.090088,0,1,842,28567.48239,14856370.52,2000,Sierra,Santa Barbara,NA,HARRIS,NA,NA,CC,NA,9700,B,Under investigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,6889,1956,CA,CDF,MVU,ROSE,0,8/23/1956 0:00,,9, ,0,4840.819824,0,1,180,42450.23879,19590122.26,2017,NA,NA,NA,ROSE,0008-10-20,0008-10-20,CC,NA,338,G,Misc,0,KRN-31474,NA,Kern,NA,NA,NA,NA,0,0,0
486,6890,1956,CA,CDF,MVU,GUEJITO,0,9/30/1956 0:00,,9, ,0,671.5189819,0,1,228,9665.250209,2717540.957,1993,III,San Diego,NA,GUEJITO,NA,0011-02-19,CDF,20722,NA,B,Powerlines,9,NA,NA,NA,NA,NA,NA,NA,1,0,0
487,6917,1966,CA,CDF,SLU,BITTERWATER,0,7/19/1966 0:00,,14, ,0,464.493988,0,1,166,6073.460592,1879741.017,1998,Coast,San Luis Obispo,NA,BITTERWATER,NA,NA,CDF,420,NA,G,Vehicle,5,NA,NA,NA,NA,NA,NA,NA,0,0,0
488,6920,1982,CA,USF,CNF,RICE,0,7/11/1982 0:00,,9, ,0,41.6847,0,1,3,1648.346907,168691.8692,2007,San Diego,NA,NA,RICE,NA,0011-05-20,NA,9472,0,G,Misc,493,NA,NA,NA,NA,NA,NA,NA,NA,0,0
489,6921,1982,CA,USF,CNF,ASSIST #16,0,9/23/1982 0:00,,14, ,0,654.3829956,0,1,17,7887.401039,2648194.549,1996,South,San Luis Obispo,NA,ASSIST #16,NA,0005-03-19,CC,NA,7115,GB,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
490,6927,1982,CA,CDF,MVU,TULE,534,6/10/1982 0:00,,9, ,0,4645.200195,0,1,144,40572.27429,18798457.96,1987,NA,NA,NA,TULE,NA,NA,USFS,NA,720,NA,Lightning,0,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA,NA,0,NA
491,6932,1982,CA,USF,MDF,BLUE,0,5/23/1982 0:00,5/26/1982 0:00,9, ,300,316.9440002,8,1,1,5757.971119,1282626.351,2011,NA,NA,NA,BLUE,0012-01-20,0012-06-20,CDF,698,NA,T,Other,0,TCU-0010455,NA,Calaveras,NA,NA,NA,NA,0,0,0
492,6979,1974,CA,CDF,BDU,WALKER,332,4/1/1974 0:00,,14, ,0,1847.689941,0,1,103,12303.44188,7477337.143,2008,NA,Sonoma-Lake-Napa,NA,WALKER,NA,NA,CDF,15000,NA,T,Human,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
493,6984,1974,CA,CDF,BEU,GLORIA,0,9/29/1974 0:00,,14, ,0,985.4769897,0,1,35,11506.06503,3988082.717,2009,NA,Monterey,NA,GLORIA,NA,0009-01-20,CDF,6437,NA,G,Other,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
494,6994,1999,CA,CDF,FKU,FOREST,6299,6/28/1999 0:00,,7, ,0,10.302,0,1,113,851.1999732,41690.91442,1992,III,Riverside,NA,FOREST,0009-06-19,0009-09-19,CDF/BIA,1000,NA,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
495,6997,1999,CA,CDF,FKU,PANOCHE,3731,4/22/1999 0:00,,7, ,0,1093.849976,0,1,50,11944.62602,4426654.36,1985,IV,Fresno-Kings,NA,PANOCHE,0006-09-19,0006-10-19,CDF,5580,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,6998,1998,CA,USF,SQF,ROBINSON,0,8/21/1998 0:00,8/23/1998 0:00,9, ,442,412.8129883,8,1,57,7796.885981,1670594.312,2010,NA,NA,NA,ROBINSON,0006-11-20,0006-12-20,CALFIRE,1600,NA,G,Undetermined,0,MMU-008291,NA,Merced,NA,NA,NA,NA,0,0,0
497,7002,1996,CA,CDF,MVU,HONEY,0,1/10/1996 0:00,,14, ,0,3387.620117,0,1,66,21339.12924,13709200.02,1996,South,San Diego,NA,HONEY,0001-10-19,0001-11-19,CDF,3500,NA,B,Undetermined,2,NA,NA,NA,NA,NA,NA,NA,0,0,0
498,7003,1996,CA,CDF,MVU,WHITE,0,7/5/1996 0:00,,14, ,0,61.7081985,0,1,81,2415.763564,249724.111,2013,NA,NA,NA,WHITE,NA,0006-05-20,USFS,NA,1984,BG,Human,0,LPF-1473,NA,Santa Barbara,NA,NA,NA,NA,1,0,0
499,7006,1996,CA,CDF,MVU,OTAY #269,5680,7/31/1996 0:00,,4, ,0,575.5059814,0,1,1097,7118.064258,2328990.828,1996,South,San Diego,NA,OTAY #269,NA,0008-01-19,CDF,750,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
500,7007,1996,CA,CDF,MVU,OTAY #322,8002,10/22/1996 0:00,,4, ,0,16561.69922,0,1,1516,43062.72358,67022656.22,1996,South,San Diego,NA,OTAY #322,NA,NA,CDF,14720,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
501,7008,1999,CA,CDF,SLU,PARKHILL,1835,5/14/1999 0:00,,14, ,0,383.8630066,0,1,0,5780.774205,1553438.722,1999,South,San Luis Obispo,NA,PARKHILL,NA,NA,CDF,365,NA,GB,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
502,7015,1999,CA,USF,CNF,LOST,2914,10/26/1999 0:00,10/26/1999 0:00,9, ,287,377.8859863,8,1,116,8052.94312,1529252.045,1987,NA,NA,NA,LOST,NA,0009-06-19,USFS,NA,23000,NA,Lightning,0,NA,Lassen,Shasta,NA,NA,NA,NA,NA,0,NA
503,7019,1980,CA,CDF,BDU,SYCAMORE,9389,11/24/1980 0:00,,14, ,0,3479.209961,0,1,1187,20907.74659,14079855.84,1985,IV,Fresno-Kings,NA,SYCAMORE,NA,0008-08-19,CDF,415,997,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,7032,1994,CA,USF,TNF,COTTONWOOD,0,8/16/1994 0:00,8/31/1994 0:00,7, ,46800,48056.5,8,1,42,88445.08854,194477632.9,1994,Cascade,Tahoe NF,NA,COTTONWOOD,NA,NA,USFS,NA,43800,N/A,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
505,7044,1992,CA,BLM,NOD,AIRPORT,0,8/6/1992 0:00,,3, ,8,9.5452604,0,1,0000D324,738.3811506,38628.31462,2002,South,San Bernardino,NA,AIRPORT,NA,NA,CDF,846,NA,GWB,Misc,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
506,7047,2004,CA,CCO,ORC,ORTEGA,4037042,6/20/2004 0:00,6/23/2004 0:00,10, ,30,34.1267014,8,1,4037042,2004.473832,138105.7306,1989,III,Cleveland NF,NA,ORTEGA,NA,NA,USFS,NA,4000,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,7048,2004,CA,CCO,ORC,SANTIAGO,58312,9/25/2004 0:00,9/25/2004 0:00,10, ,13.8,12.4144001,8,1,58312,1158.742337,50239.11636,1998,Coast,Riverside (Orange County),NA,SANTIAGO,NA,0009-04-19,CC,NA,8900,BG,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
508,7049,2004,CA,CCO,ORC,CARBON CANYON,58358,9/25/2004 0:00,9/25/2004 0:00,7, ,35,17.6947002,8,1,58358,2375.817116,71608.00023,2011,NA,NA,NA,CARBON CANYON,0007-07-20,0007-08-20,CDF,508,NA,B,Undetermined,0,ORC-045067,NA,Orange,NA,NA,NA,CC,0,0,0
509,7054,2004,CA,CDF,MVU,LA POSTA,3477,5/6/2004 0:00,5/6/2004 0:00,14, ,30,27.8873997,1,1,359,1974.942331,112856.2585,1994,South,San Diego,NA,LA POSTA,0009-09-19,0009-10-19,CDF,330,NA,B,Shooting,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
510,7059,1988,CA,CDF,SNU,GEYSERS SERIES,852,9/11/1988 0:00,,14, ,0,352.7099915,0,1,233,6064.489176,1427368.517,1988,I,Sonoma,NA,GEYSERS SERIES,0009-11-19,NA,CDF,352,NA,WB,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
511,7060,1988,CA,CDF,TCU,GRADE,3271,8/19/1988 0:00,,2, ,0,375.3930054,0,1,652,5593.180103,1519162.634,1987,NA,NA,NA,GRADE,0010-04-19,0010-04-19,CDF,2900,NA,NA,Arson,0,NA,NA,San Diego,NA,NA,NA,NA,NA,0,NA
512,7061,1988,CA,CDF,MVU,RODRIGUEZ,0,12/1/1988 0:00,,14, ,0,461.553009,0,1,216,8369.683966,1867840.629,1988,III,San Diego,NA,RODRIGUEZ,0012-01-19,0012-02-19,CDF,439,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,7062,1988,CA,CDF,MVU,GAVILAN,730,3/31/1988 0:00,,4, ,0,249.1470032,0,1,132,4311.220523,1008264.131,1988,III,San Diego,NA,GAVILAN,NA,0004-02-19,CDF,325,NA,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
514,7068,1988,CA,CDF,RRU,LOCAL,19657,6/4/1988 0:00,,14, ,0,688.6040039,0,1,12135,6918.952879,2786682.319,1988,III,Riverside,NA,LOCAL,0006-04-19,0006-04-19,LOCAL,NA,1800,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,7069,1988,CA,CDF,RRU,STATE,24587,7/11/1988 0:00,,9, ,0,301.8510132,0,1,1351,4231.471293,1221549.104,1988,III,Riverside,NA,STATE,NA,NA,CDF,1200,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,7070,1988,CA,CDF,RRU,STATE,31293,8/31/1988 0:00,,9, ,0,314.4299927,0,1,1766,4707.862383,1272452.392,1988,III,Riverside,NA,STATE,NA,NA,CDF,1200,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,7071,1988,CA,CDF,RRU,STATE,36400,10/9/1988 0:00,,7, ,0,380.1400146,0,1,2033,4550.160148,1538373.258,1988,III,Riverside,NA,STATE,NA,NA,CDF,1200,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,7072,1988,CA,CDF,RRU,STATE #1161,22024,6/23/1988 0:00,,7, ,0,548.434021,0,1,1161,7666.858599,2219434.629,1988,III,Riverside,NA,STATE #1161,NA,NA,CDF,400,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,7073,1988,CA,CDF,RRU,STATE #2428,44433,12/9/1988 0:00,,2, ,0,1445.939941,0,1,2428,11123.70808,5851531.797,1988,III,Riverside,NA,STATE #2428,0012-09-19,0012-09-19,CDF,1135,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,7103,1943,CA,USF,SRF,TELEGRAPH,0,9/14/1943 0:00,,1, ,0,4.9790101,0,1,400485,503.8339815,20149.32165,2008,NA,Madera-Mariposa-Merced,NA,TELEGRAPH,NA,NA,CDF,34091,NA,TBG,Misc,130,NA,NA,NA,NA,NA,NA,NA,NA,0,0
521,7111,1944,CA,CCO,LAC,HOWARD,0,8/6/1944 0:00,,14, ,0,146.7449951,0,1,0,2981.839918,593855.8112,2016,NA,NA,NA,HOWARD,0009-11-20,NA,CDF,380,NA,BGT,Railroad,0,LMU-4700,NA,Modoc,NA,NA,NA,NA,0,0,0
522,7150,1945,CA,USF,KNF,BEAR,0,7/11/1945 0:00,,1, ,0,79.7677994,0,1,120,2060.194815,322808.6328,1987,NA,NA,NA,BEAR,NA,0009-12-19,USFS,NA,550,NA,Lightning,0,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA,NA,0,NA
523,7163,1972,CA,CDF,SHU,COYOTE,0,8/25/1972 0:00,,14, ,0,835.7550049,0,1,0,9984.271519,3382178.635,2003,South,San Diego,NA,COYOTE,NA,NA,CDF,18705,NA,GTWB,Lightning,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,7217,1955,CA,USF,SHF,BOLAM,0,6/5/1955 0:00,,9, ,0,446.2359924,0,1,14,6350.354679,1805854.649,1984,II,Siskiyou,NA,BOLAM,0011-01-19,0011-02-19,CDF,370,NA,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,7218,1948,CA,CDF,TGU,MANTON,0,8/6/1948 0:00,,14, ,0,8604.910156,0,1,139,29826.49471,34822822.63,1998,Coast,Tehama-Glenn,NA,MANTON,0008-01-19,0008-02-19,CDF,2100,NA,W,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
526,7223,1950,CA,CDF,MVU,QUARRY,0,10/3/1950 0:00,,14, ,0,280.6069946,0,1,683,3834.319695,1135574.566,2008,NA,San Mateo-Santa Cruz,NA,QUARRY,NA,NA,CDF,300,NA,TBG,Unidentified,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
527,7247,1972,CA,CDF,LNU,JACKSON,0,7/15/1972 0:00,,14, ,0,1958.119995,0,1,0000146C,16560.96861,7924239.347,2001,Sierra,Amador,NA,JACKSON,NA,NA,CDF,2240,NA,GWB,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
528,7248,1972,CA,CDF,TCU,MOCCASIN,0,7/6/1972 0:00,,14, ,0,426.1740112,0,1,248,9336.389939,1724664.725,1992,IV,Tuolumne-Calaveras,NA,MOCCASIN,0008-01-19,0008-04-19,CDF,8370,NA,TGWP,Campfire,6,NA,NA,NA,NA,NA,NA,NA,5,0,0
529,7271,1960,CA,USF,TNF,MILL CREEK,0,9/1/1960 0:00,9/1/1960 0:00,5, ,45,41.6338997,0,1,74,1553.510297,168486.4201,1984,II,Tehama-Glenn,NA,MILL CREEK,NA,NA,CDF,4020,NA,W,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
530,7280,1952,CA,CDF,MEU,LYNCH,0,9/1/1952 0:00,,14, ,0,2814.48999,0,1,227,14471.65451,11389832.94,2008,NA,Butte,NA,LYNCH,NA,NA,CDF,800,NA,T,Lightning,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
531,7287,1952,CA,USF,KNF,DAVIS,0,4/29/1952 0:00,,5, ,0,23.1389999,0,1,1,1536.578139,93640.3915,2002,South,San Luis Obispo,NA,DAVIS,0006-09-20,0006-09-20,CDF,2118,NA,GA,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
532,7290,1952,CA,USF,KNF,MILL CREEK,0,9/17/1952 0:00,,9, ,0,86.2197037,0,1,117,2320.447123,348918.701,1984,II,Tehama-Glenn,NA,MILL CREEK,NA,NA,CDF,4020,NA,W,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,7305,1960,CA,CDF,BDU,SUMMIT,0,5/12/1960 0:00,,14, ,0,610.8939819,0,1,6,6790.848364,2472199.475,2008,NA,Santa Clara,NA,SUMMIT,NA,NA,CDF,4270,NA,T,Unidentified,91,NA,NA,NA,NA,NA,NA,NA,NA,0,0
534,7338,1979,CA,USF,SHF,RIM,0,5/15/1979 0:00,,9, ,0,255.3730011,0,1,3,4340.856849,1033456.699,2008,NA,Butte,NA,RIM,NA,NA,CDF,1651,NA,T,Lightning,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
535,7362,1950,CA,CDF,TCU,JACKSONVILLE,0,9/4/1950 0:00,,14, ,0,5466.399902,0,1,86,25842.20333,22121720.98,2017,NA,NA,NA,JACKSONVILLE,NA,0008-04-20,CDF,675,NA,BG,Undetermined,1,TCU-9024,NA,Tuolumne,NA,NA,NA,NA,0,0,0
536,7367,1950,CA,CDF,LMU,MAMMOTH,0,8/31/1950 0:00,,14, ,0,7061.220215,0,1,26,26146.52604,28575728.32,2009,NA,Placer,NA,MAMMOTH,NA,NA,CDF,650,NA,G,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
537,7370,1981,CA,USF,CNF,POWERLINE,0,6/9/1981 0:00,,9, ,0,119.8030014,0,1,5,3031.17208,484824.3724,1986,III,Riverside,NA,POWERLINE,NA,NA,LOCAL,NA,400,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,7372,1981,CA,USF,CNF,WOHLFORD,0,8/15/1981 0:00,,14, ,0,40.3023987,0,1,25,1928.901875,163098.0252,1997,South,San Diego,NA,WOHLFORD,0008-01-19,0008-02-19,CDF,457,NA,B,Arson,8,NA,NA,NA,NA,NA,NA,NA,15,0,0
539,7378,1988,CA,CCO,VNC,PIRU,105,7/1/1988 0:00,,14, ,0,12071,0,1,0,76907.36268,48849562.33,1998,Coast,San Luis Obispo,NA,PIRU,NA,NA,CC,NA,6500,BG,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
540,7379,1988,CA,USF,SRF,RATTLESNAKE,0,9/24/1988 0:00,9/26/1988 0:00,7, ,48,47.6977997,8,1,35,1559.427756,193026.0542,1984,VI,Riverside,NA,RATTLESNAKE,NA,NA,CDF,700,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,7385,1997,CA,CCO,MRN,CENTER,1494,10/6/1997 0:00,,14, ,0,98.9487991,0,1,27,3088.010007,400431.5054,2011,NA,NA,NA,CENTER,NA,NA,CDF,850,NA,G,Undetermined,19,BDU-002915,NA,Inyo,NA,NA,NA,NA,0,0,0
542,7387,1997,CA,CDF,TGU,PONDEROSA,2891,,,7, ,0,878.4349976,0,1,233,12026.29448,3554901.813,1997,Cascade,Tehama-Glenn,NA,PONDEROSA,NA,NA,CDF,1100,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
543,7388,1997,CA,CDF,FKU,GROVE,20596,5/19/1997 0:00,,1, ,0,1400.300049,0,1,101,14697.607,5666807.729,1997,Sierra,Fresno-Kings,NA,GROVE,NA,NA,CDF,1235,160,G,Electrical power,3,NA,NA,NA,NA,NA,NA,NA,26,0,0
544,7389,1997,CA,CDF,SLU,MONTANA,4293,11/1/1997 0:00,,14, ,0,350.1409912,0,1,0,5917.693447,1416968.779,1997,South,San Luis Obispo,NA,MONTANA,0011-01-19,0011-02-19,CDF,375,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
545,7393,1978,CA,CDF,MVU,DYE,1454,9/21/1978 0:00,,14, ,0,525.3280029,0,1,597,8689.080055,2125925.805,1990,II,Tehama-Glenn,NA,DYE,0008-06-19,0008-08-19,CDF,4973,227,WB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,7400,1997,CA,CDF,MEU,ROBINSON,1153,4/2/1997 0:00,,5, ,0,75.6213989,0,1,15,2235.2435,306029.0631,2010,NA,NA,NA,ROBINSON,0006-11-20,0006-12-20,CALFIRE,1600,NA,G,Undetermined,0,MMU-008291,NA,Merced,NA,NA,NA,NA,0,0,0
547,7403,1997,CA,CDF,MEU,HOPPER,3352,8/11/1997 0:00,,14, ,0,16.4153996,0,1,173,951.2661229,66430.63378,1997,South,Los Padres NF,NA,HOPPER,0008-05-19,NA,USFS,NA,24800,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
