FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,Year,Region,Ranger_uni,Ranger_u_1,FIRE_NAM_1,Start,Contained,DPA,CDF_acres_,Other_acre,Veg_type,Cause_1,Destroyed_,Incident_n,National_f,County,County2,County3,Fire_name2,DPA2,Damaged_st,Firefighte,Civilian_f
1949,15175,1980,CA,USF,KNF,BUCK,0,7/8/1980 0:00,7/8/1980 0:00,5, ,16,6.8354802,8,1,21,601.7263594,27662.21582,2012,NA,NA,NA,BUCK,NA,NA,CDF,2681,NA,GB,Lightning,4,RRU-080142,NA,Riverside,NA,NA,NA,NA,0,0,0
1950,15180,2003,CA,USF,CNF,PARADISE,0,10/26/2003 0:00,11/4/2003 0:00,7, ,56427,56545.69922,8,1,89,125624.6286,228832317,2003,South,San Diego,NA,PARADISE,NA,0011-06-20,BIA,NA,56700,B,Equipment use,223,NA,NA,NA,NA,NA,NA,NA,10,NA,2
1951,15181,2003,CA,USF,CNF,CEDAR,0,10/25/2003 0:00,11/5/2003 0:00,2, ,280278,270686,8,1,87,362038.1761,1095427361,1987,NA,NA,NA,CEDAR,0009-02-19,0009-06-19,USFS,NA,709,NA,Lightning,0,NA,Modoc,Modoc,NA,NA,NA,NA,NA,0,NA
1952,15188,1981,CA,USF,PNF,ELEPHANT,0,9/17/1981 0:00,9/24/1981 0:00,1, ,5995,6852.310059,8,1,157,28593.50807,27730321.53,2009,NA,NA,NA,ELEPHANT,NA,NA,USFS,NA,445,T,Misc,0,PNF-782,NA,Plumas,NA,NA,NA,NA,0,0,0
1953,15193,1981,CA,USF,SNF,ROCK CREEK,0,8/28/1981 0:00,8/31/1981 0:00,4, ,1155,1084.339966,8,1,128,12327.7829,4388180.437,1985,II,Butte,NA,ROCK CREEK,0006-11-19,0006-12-19,CDF,1650,NA,B,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,15203,1981,CA,USF,SQF,FLAT,0,8/27/1981 0:00,8/30/1981 0:00,8, ,1500,1729.910034,8,1,128,11278.19709,7000703.905,2012,NA,NA,NA,FLAT,0007-11-20,NA,USFS,NA,1688,TG,Unidentified,0,SHF-2290,NA,Trinity,NA,NA,NA,NA,0,0,0
1955,15204,1981,CA,USF,SQF,DAVIS,0,8/3/1981 0:00,8/5/1981 0:00,7, ,1450,1376.199951,8,1,43,15367.45036,5569296.65,2002,South,San Luis Obispo,NA,DAVIS,0006-09-20,0006-09-20,CDF,2118,NA,GA,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
1956,15220,1997,CA,USF,PNF,RUSH,0,7/28/1997 0:00,7/28/1997 0:00,1, ,4,2.15854,8,1,71,505.4502017,8735.306751,2012,NA,NA,NA,RUSH,0008-12-20,NA,NPS,NA,271911,GB,Lightning,0,NOD-3490,NA,Lassen,NA,NA,NA,BLM,1,0,0
1957,15224,1998,CA,USF,SNF,ROUGH,0,10/20/1998 0:00,10/22/1998 0:00,4, ,960,896.8690186,8,1,91,8984.486557,3629500.428,2015,NA,NA,NA,ROUGH,NA,0012-01-20,USFS,NA,151623,TBG,Lightning,4,SNF-1746,NA,Fresno,NA,NA,NA,NA,0,0,0
1958,15225,1998,CA,USF,SQF,COFFEE,0,7/24/1998 0:00,7/25/1998 0:00,9, ,12,8.8976498,8,1,23,752.8361082,36007.51036,1997,Sierra,Tulare/Sequoia NF,NA,COFFEE,NA,NA,CDF,2420,NA,B,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
