FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
690,14888,CA,CDF,SHU,BEAR,00006278,2004-08-11,2004-09-05,2, ,10441,10441.7002,7,1,00000367,59032.74745,42256144.71,0,2004,BEAR, ,Cascade,CDF,Shasta-Trinity, ,8/11/2004,8/16/2004,10848,0,10848,TW,Equipment use,86, , , , , , , ,28,0,0,114,2004,4055.38303
691,14890,CA,CDF,SHU,KESWICK,00004225,2004-06-14,2004-06-14,2, ,26,26.04809952,7,1,00000172,1371.154328,105413.0903,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,26.04814
692,14894,CA,CDF,SHU,GAS POINT #2,00004111,2004-06-11,2004-06-11,2, ,0,0.229548007,7,1,00000161,222.3540761,928.9480726,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,0.20348
693,14896,CA,CDF,NEU,STEVENS,00013741,2004-08-08,2004-08-12,15, ,934,934.4000244,2,1,00000574,11228.58248,3781381.667,0,2004,STEVENS, ,Cascade,CDF,Nevada-Yuba-Placer, ,8/8/2004,8/12/2004,934,0,934,B,Equipment use,2, , , , , , , , ,0,0,2,2004,219.50812
694,14900,CA,CDF,LNU,OCEGUERA,00006957,2004-09-11,2004-09-11,14, ,20,19.60409927,1,1,00000593,1584.320505,79334.86148,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,19.60407
695,14902,CA,CDF,MMU,SPRING/MPUD 133,00015630,2004-08-18,2004-08-18,14, ,23,79.87819672,6,1,00000314,3055.473322,323255.7656,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,78.64077
696,14903,CA,CDF,MMU,MARIPOSA/MPUD 137,00016500,2004-08-20,2004-08-20,14, ,23,66.35649872,6,1,00000318,2245.613582,268535.2576,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,65.91965
697,14908,CA,CDF,MVU,LILAC,00005491,2006-06-19,2006-06-19,9, ,15,15.36530018,6,1,00000537,1047.530638,62181.00874,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,0.00277
698,14909,CA,CDF,MVU,CASTLE,00005855,2006-06-29,2006-06-30,7, ,100,94.88089752,6,1,00000587,2676.228618,383969.4617,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,61.8667
699,14913,CA,CDF,MVU,CAMINO,00010089,2006-10-29,2006-10-30,9, ,183,68.95860291,1,1,00001054,5096.861461,279065.6817,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,1.46879
700,14916,CA,CDF,MVU,CAMPO,00011251,2006-12-02,2006-12-02,14, ,11,11.3409996,1,1,00001181,909.4993867,45895.59492,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,11.34105
701,14918,CA,CDF,NEU,ROLLINS,00015918,2006-08-19,2006-08-20,8, ,30,42.55009842,1,1,00000537,1795.936885,172194.1364,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,24.98015
702,14919,CA,CDF,NEU,MARYSVILLE,00015663,2006-08-16,2006-08-17,9, ,388,388.368988,1,1,00000521,8744.782634,1571675.009,0,2006,MARYSVILLE, ,Cascade,CDF,Nevada-Yuba-Placer, ,8/16/2006,8/17/2006,388,0,388,TB,Equipment use,1, , , , , , , , ,0,0,1,2006,267.15203
703,14951,CA,CDF,MVU,BANDY,00007357,2004-09-06,2004-09-06,8, ,40,8.407930374,8,1,00000811,806.1114143,34025.66587,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,8.40793
704,14953,CA,CDF,MVU,BORDER #16,00007603,2004-09-13,2004-09-13,9, ,35,828.2410278,1,1,00000848,15705.92402,3351770.605,0,2004,BORDER #16, ,South,CDF,San Diego, ,9/13/2004,9/13/2004,965,0,965,B,Undetermined,1, , , , , , , , ,0,0,1,2004,76.57747
705,15011,CA,BLM,BBD,UNION,00000000,2004-09-12,2004-09-12,2, ,35,34.92720032,7,1,0000BE8U,1573.054078,141345.4848,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,0.00321
706,15012,CA,BLM,BBD,DANA,00000000,2004-06-25,2004-07-01,1, ,2164,3161.47998,7,1,0000A51G,21831.60721,12794043.27,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,172.48792
707,15016,CA,BLM,BBD,COLORADO,00000000,2004-08-06,2004-08-13,2, ,15,15.42759991,7,1,0000BAG9,960.4488869,62433.48251,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,11.96351
708,15017,CA,BLM,BBD,SIERRA,00000000,2004-05-20,2004-05-20,2, ,60,60.05210114,7,1,0000A3M1,2273.709251,243022.3145,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,3.33481
709,15020,CA,BLM,CDD,NORTH MTN,00000000,2004-11-08,2004-11-09,2, ,25,65.38379669,7,1,0000DC85,8705.561401,264599.0357,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,0.24199
710,15021,CA,CDF,RRU,MELTON,00000000,2004-07-17,2004-07-20,1, ,3693,3693.22998,7,1,00001221,22259.3969,14945987.38,0,2004,MELTON, ,South,OTHER,Riverside, ,7/17/2004,7/20/2004,0,3667,3667,B,Misc,20, , , , , , , , ,0,0,20,2004,1052.25528
711,15024,CA,CDF,BDU,PARADISE,00006312,2005-06-22,2005-06-25,14, ,3082,3081.72998,1,1,00000140,33271.24786,12471300.66,0,2005,PARADISE, ,South,CDF,San Berrdino, ,6/22/2005,6/25/2005,3082,0,3082,B,Undetermined,6, , , , , , , ,8,0,0,14,2005,513.05754
712,15026,CA,CDF,BDU,OAK HILL,00005090,2005-05-21,2005-05-21,2, ,120,121.7350006,6,1,00000068,3467.178773,492644.6602,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,69.44942
713,15029,CA,CCO,LAC,SIERRA,00149034,2005-07-13,2005-04-14,8, ,364,364.3789978,8,1,00000000,9873.850272,1474587.943,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,36.46288
714,15032,CA,CCO,LAC,QUINN,00163678,2005-08-01,2005-08-01,2, ,136,135.9909973,8,1,00000000,4174.343011,550334.3178,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,102.30099
715,15034,CA,CCO,LAC,GORMAN,00189367,2005-09-03,2005-09-06,14, ,2025,2515.939941,8,1,00000000,21124.2256,10181651.81,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,37.14817
716,15076,CA,USF,INF,BIRCH,00000000,2002-07-01,2002-07-30,1, ,2624,2549.370117,2,1,00000017,20165.29936,10316940.84,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2002,0.13801
717,15079,CA,USF,SQF,MCNALLY,00000000,2002-07-21,2002-08-28,4, ,150696,149475,6,1,00000043,283975.2541,604904977.1,0,2002,MCLLY, ,Sierra,USFS,Tulare, ,7/21/2002,7/21/2002,0,150696,150696, , ,0, , , , , , , , ,0,0,0,2002,55.77968
718,15092,CA,USF,SQF,CYRUS,00000000,1999-05-17,1999-05-18,2, ,110,102.9110031,8,1,00000002,3486.713966,416464.1665,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1999,0.01091
719,15093,CA,USF,SQF,SHADOW,00000000,1999-06-12,1999-06-12,9, ,65,60.46220016,8,1,00000011,2755.97366,244681.9424,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1999,2.79486
