FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,OBJECTID_1,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,Damaged__1
849,5285,1979,CA,CDF,RRU,SAGE,00011942,1979-07-08,,14, ,0,118.0059967,0,1,00000918,3286.995139,477552.5403,5285,0,1979,SAGE, ,VI,CDF,Riverside, , , ,320,0,320,B,Arson,0, , , , , , , , ,0,0,0,0
850,5286,1979,CA,CDF,RRU,BURRO,00000000,1979-08-23,,14, ,0,22.04310036,0,1,00000019,1124.382305,89205.23342,5286,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
851,5287,1979,CA,CDF,RRU, ,00000000,,,14, ,0,689.7260132,0,1,00000000,10089.45514,2791223.523,5287,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
852,5288,1979,CA,CDF,RRU,BURRO/MOR 59,00015538,1979-08-23,,14, ,0,1037.280029,0,1,00001283,8634.254614,4197706.182,5288,0,1979,BURRO/MOE 59, ,VI,CDF,Riverside, , , ,1545,0,1545,B,Arson,0, , , , , , , , ,0,0,0,0
853,5289,1979,CA,USF,BDF, ,00000000,,,14, ,0,2536.399902,0,1,00000000,21454.31252,10264462.19,5289,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
854,5290,1979,CA,USF,BDF, ,00000000,,,14, ,0,47.44350052,0,1,00000000,1757.667078,191996.9703,5290,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
855,5291,1979,CA,USF,BDF, ,00000000,,,14, ,0,91.92919922,0,1,00000000,2760.489122,372024.2386,5291,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
856,5292,1979,CA,USF,BDF, ,00000000,,,14, ,0,47.47539902,0,1,00000000,1691.324856,192126.3108,5292,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
857,5293,1979,CA,USF,BDF, ,00000000,,,14, ,0,2248.73999,0,1,00000000,24142.25546,9100336.096,5293,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
858,5294,1979,CA,USF,BDF, ,00000000,,,14, ,0,76.60350037,0,1,00000000,2322.425052,310003.2288,5294,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
859,5295,1979,CA,USF,BDF, ,00000000,,,14, ,0,130.4360046,0,1,00000000,3295.441591,527855.9689,5295,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
860,5296,1979,CA,USF,BDF, ,00000000,1979-08-07,1979-08-09,4, ,225,223.3500061,8,1,00000133,4455.303952,903865.2496,5296,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
861,5297,1979,CA,USF,BDF, ,00000000,,,14, ,0,23.73259926,0,1,00000000,1181.147912,96042.54111,5297,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
966,5639,1979,CA,CDF,RRU, ,00000000,,,14, ,0,333.4509888,0,1,00000000,5349.483134,1349429.597,5639,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
967,5640,1979,CA,CDF,RRU, ,00000000,,,14, ,0,132.4440002,0,1,00000000,3348.574933,535980.78,5640,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
968,5641,1979,CA,CDF,RRU, ,00000000,,,14, ,0,167.8619995,0,1,00000000,3662.939217,679312.8613,5641,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
969,5642,1979,CA,CDF,RRU, ,00000000,,,14, ,0,227.5910034,0,1,00000000,4889.943293,921027.6593,5642,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
970,5643,1979,CA,CDF,RRU, ,00000000,,,14, ,0,171.1069946,0,1,00000000,3643.626686,692443.6577,5643,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
971,5644,1979,CA,CDF,RRU, ,00000000,,,14, ,0,193.427002,0,1,00000000,3840.224679,782770.3818,5644,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
972,5645,1979,CA,CDF,RRU, ,00000000,,,14, ,0,208.8240051,0,1,00000000,4182.359718,845079.0422,5645,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
973,5646,1979,CA,CDF,RRU, ,00000000,,,14, ,0,212.7689972,0,1,00001534,4941.214557,861046.0542,5646,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
974,5647,1979,CA,CDF,RRU, ,00000000,,,14, ,0,229.8049927,0,1,00000000,5626.465637,929988.3364,5647,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
975,5648,1979,CA,CDF,RRU, ,00000000,,,14, ,0,235.0449982,0,1,00000000,5262.588832,951192.6966,5648,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
993,5694,1979,CA,CDF,MVU,HAUSER,00000000,1979-07-10,,14, ,0,710.2340088,0,1,00000032,9056.795427,2874216.051,5694,0,1979,HAUSER, ,VI,USFS,Cleveland NF, , , ,0,681,681,B,Campfire,0, , , , , , , , ,0,0,0,0
994,5695,1979,CA,USF,CNF,GROVE,00000000,1979-10-29,1979-10-30,14, ,100,99.748703,8,1,00000121,2655.657346,403668.6328,5695,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
995,5696,1979,CA,USF,CNF,WILDOMAR,00000000,1979-06-15,1979-06-16,14, ,150,101.060997,8,1,00000029,2521.491281,408978.0857,5696,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1051,5898,1979,CA,CCO,SBC,ZACA STATION #2,00000000,1979-07-25,,14, ,0,243.0879974,0,1,00000000,5879.05706,983743.0186,5898,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1052,5899,1979,CA,CCO,SBC,ZACA STATION #1,00000000,1979-07-17,,14, ,0,580.3779907,0,1,00000000,7874.561452,2348707.055,5899,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1053,5900,1979,CA,CCO,SBC,EAGLE CANYON,00000000,1979-09-18,,9, ,0,3764.52002,0,1,00000063,23787.15583,15234482.8,5900,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1054,5901,1979,CA,CCO,SBC,RANCHO FELECIA,00000000,1979-06-22,,14, ,0,914.6149902,0,1,00000000,9702.835714,3701316.589,5901,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1151,6380,1979,CA,USF,CNF, ,00000000,,,14, ,0,130.5500031,0,1,00000182,2998.974587,528315.9934,6380,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1152,6381,1979,CA,CDF,MVU,VESPER,00000757,1979-06-09,,9, ,0,402.2460022,0,1,00000253,6798.575785,1627830.829,6381,0,1979,VESPER, ,VI,CDF,San Diego, , , ,450,0,450,BA,Campfire,0, , , , , , , , ,0,0,0,0
1153,6382,1979,CA,USF,CNF, ,00000000,,,14, ,0,965.7130127,0,1,00000217,15426.6169,3908102.025,6382,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1154,6383,1979,CA,USF,CNF, ,00000000,,,9, ,0,111.4909973,0,1,00000212,3377.042014,451186.5097,6383,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
