YEAR_,FIRE_NAME,OBJECTID,STATE,AGENCY,UNIT_ID,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area,Year,FIRE_NAME,Region,DPA,Ranger_unit,Ranger_unit2,Start,Contained,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1910, ,15547,CA,USF,ANF,0,,,14," S Imsand,Baldy, 1N 8W-1,12,13,22,23,24, San Antonio Wash-AFA 1906-1930 Cum map*",1646,1646.345703,,1,0,11562.84023,6662524.513,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15740,CA,USF,STF,,,,14,20090305,0,4019.056641,8,1,125,22852.37567,16264544.73,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15741,CA,USF,STF,,,,14,20090305,0,9000.84082,8,1,182,28505.76021,36425109.78,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15742,CA,USF,STF,,,,14,20090305,0,2815.818604,8,1,208,16851.60922,11395213.55,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15743,CA,USF,STF,,,,14,20090305,0,982.5289307,8,1,246,10115.98734,3976153.543,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15744,CA,USF,STF,,,,14,20090305,0,1555.031616,8,1,250,11595.01296,6292989.904,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15745,CA,USF,STF,,,,14,20090305,0,255.4726715,8,1,307,4286.176947,1033861.212,,,,,,,,,,,,,,,,,,,,,,,
1910,BEE LAKE,2091,CA,USF,SRF,0,9/8/1910 0:00,,14,,,298.7190552,,1,200021,3902.544497,1208873.182,,,,,,,,,,,,,,,,,,,,,,,
1910,BLUFF CREEK,2084,CA,USF,SRF,0,7/24/1910 0:00,,4,,,298.7165527,,1,200013,3902.529454,1208863.004,,,,,,,,,,,,,,,,,,,,,,,
1910,BULL CREEK,2036,CA,USF,SRF,0,8/5/1910 0:00,,4,,,56.8972168,,1,200015,2138.527105,230254.8615,,,,,,,,,,,,,,,,,,,,,,,
1910,COYOTE CREEK,3001,CA,CCO,VNC,0,7/1/1910 0:00,,14,,,11226.82422,,1,0,28728.48058,45433344.32,,,,,,,,,,,,,,,,,,,,,,,
1910,CRAWFORD CREEK 2,2085,CA,USF,SRF,0,8/7/1910 0:00,,7,,,497.8850708,,1,200016,5038.266153,2014869.432,,,,,,,,,,,,,,,,,,,,,,,
1910,GLASS MOUNTAIN,12773,CA,USF,MDF,0,7/13/1910 0:00,,1,,,146967.5625,,1,2,156400.195,594756599.7,,,,,,,,,,,,,,,,,,,,,,,
1910,HAT MT.,4440,CA,USF,MDF,0,8/26/1910 0:00,,9,,,347.3707275,,1,9,6640.112685,1405759.475,,,,,,,,,,,,,,,,,,,,,,,
1910,HOPKINS CREEK,2087,CA,USF,SRF,0,8/29/1910 0:00,,9,,,497.8733215,,1,200018,5038.203587,2014821.821,,,,,,,,,,,,,,,,,,,,,,,
1910,MILL CREEK,2086,CA,USF,SRF,0,8/15/1910 0:00,,4,,,398.2931519,,1,200017,4506.274733,1611835.155,,,,,,,,,,,,,,,,,,,,,,,
1910,MILL CREEK,2093,CA,USF,SRF,0,9/12/1910 0:00,,14,,,597.4611206,,1,200023,5519.135958,2417839.391,,,,,,,,,,,,,,,,,,,,,,,
1910,RED CAP,2092,CA,USF,SRF,0,9/10/1910 0:00,,5,,,497.8814392,,1,200022,5038.246232,2014854.684,,,,,,,,,,,,,,,,,,,,,,,
1910,SOUP,4439,CA,USF,MDF,0,7/21/1910 0:00,,1,,,19.3962402,,1,1,1091.435965,78493.80255,,,,,,,,,,,,,,,,,,,,,,,
1910,ULLATHORNE 2,2035,CA,USF,SRF,0,9/24/1910 0:00,,4,,,79.6611786,,1,200024,2015.300076,322377.3467,,,,,,,,,,,,,,,,,,,,,,,
1910,ULLATHORNE PEAK,2088,CA,USF,SRF,0,9/1/1910 0:00,,14,,,159.3288727,,1,200019,2850.12276,644781.0591,,,,,,,,,,,,,,,,,,,,,,,
