FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
87,5632,CA,USF,SRF, ,00000000,1990-03-18,1990-03-19,9, ,3,2.987240076,8,1,00000001,390.2569542,12088.91109,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,0.26376
88,5639,CA,CDF,RRU, ,00000000,,,14, ,0,333.4509888,0,1,00000000,5349.483134,1349429.597,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,331.51539
89,5641,CA,CDF,RRU, ,00000000,,,14, ,0,167.8619995,0,1,00000000,3662.939217,679312.8613,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,54.64428
90,5642,CA,CDF,RRU, ,00000000,,,14, ,0,227.5910034,0,1,00000000,4889.943293,921027.6593,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,30.44731
91,5643,CA,CDF,RRU, ,00000000,,,14, ,0,171.1069946,0,1,00000000,3643.626686,692443.6577,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,1.98035
92,5646,CA,CDF,RRU, ,00000000,,,14, ,0,212.7689972,0,1,00001534,4941.214557,861046.0542,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,101.63878
93,5647,CA,CDF,RRU, ,00000000,,,14, ,0,229.8049927,0,1,00000000,5626.465637,929988.3364,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,139.39455
94,5658,CA,CCO,LAC,LATIGO FIRE,00941773,1994-12-08,,14, ,0,63.10950089,0,1,00000021,2785.56601,255395.0318,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1994,9.08198
95,5695,CA,USF,CNF,GROVE,00000000,1979-10-29,1979-10-30,14, ,100,99.748703,8,1,00000121,2655.657346,403668.6328,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,94.34814
96,5696,CA,USF,CNF,WILDOMAR,00000000,1979-06-15,1979-06-16,14, ,150,101.060997,8,1,00000029,2521.491281,408978.0857,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,78.21774
