Year,FIRE_NAME,Damaged_structures,Destroyed_structures,Ranger_unit,Start,Incident_number,County,County2,Region,Ranger_unit2,National_forest,County3,Fire_name2,DPA,DPA2,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Firefighter_fatalities,Civilian_fatalities,Contained
2016,SLATE,0,0,NA,10/4/16,SQF-3261,Tulare,NA,NA,NA,NA,NA,NA,USFS,NA,NA,2160,BT,Lightning,0,0,11/5/16
1987,SLATER,0,0,NA,8/30/87,NA,Siskiyou,NA,NA,NA,Klamath,NA,NA,USFS,NA,NA,4890,NA,Lightning,0,NA,9/6/87
1996,SLAUGHTER HOUSE,0,0,San Diego,7/30/96,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,750,NA,B,Equipment Use,0,0,7/31/96
1992,SLICK ROCK,0,0,San Benito-Monterey,8/17/92,NA,NA,NA,IV,NA,NA,NA,NA,USFS,NA,NA,2480,NA,NA,NA,NA,8/17/92
1987,SLIDE,0,0,NA,8/30/87,NA,Siskiyou,NA,NA,NA,Klamath,NA,NA,USFS,NA,NA,300,NA,Lightning,0,NA,9/14/87
1987,SLIDES,0,0,NA,8/30/87,NA,Tehama,NA,NA,NA,Mendocino,NA,NA,USFS,NA,NA,1220,NA,Lightning,0,NA,9/11/87
2008,SLINKARD,0,0,NA,8/17/08,KNF-4096,Siskiyou,NA,NA,NA,NA,NA,NA,USFS,NA,NA,374,T,Lightning,0,0,8/21/08
2017,SLINKARD,0,0,NA,8/29/17,OVD-1478,Mono,NA,NA,NA,NA,NA,NA,BLM,NA,NA,8925,BGT,Lightning,0,0,9/11/17
1981,SLOAT,0,0,Plumas NF,7/21/81,NA,NA,NA,II,NA,NA,NA,NA,USFS,NA,0,850,T,Arson,NA,NA,7/21/81
2010,SLOPE,0,0,NA,7/25/10,YNP-2777,Tuolumne,NA,NA,NA,NA,NA,NA,NPS,NA,NA,1711,T,Lightning,0,0,1/23/10
1989,SLU 1531,0,0,San Luis Obispo,6/18/89,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,610,NA,WBG,Equipment use,NA,NA,6/18/89
1990,SLU 1626,0,3,San Luis Obispo,6/20/90,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,600,NA,WB,Arson,NA,NA,6/21/90
1987,SLU 1690,0,0,NA,7/23/87,NA,San Luis Obispo,NA,NA,NA,NA,NA,NA,CDF,NA,300,NA,NA,Playing with fire,0,NA,7/23/87
1987,SLU 1848,0,0,NA,8/5/87,NA,San Luis Obispo,NA,NA,NA,NA,NA,NA,CDF,NA,575,NA,NA,Equipment Use,0,NA,8/5/87
1987,SLU 73,0,0,NA,4/19/87,NA,San Luis Obispo,NA,NA,NA,NA,NA,NA,CDF,NA,600,NA,NA,Misc,0,NA,4/19/87
1987,SLU 864,0,0,NA,5/5/87,NA,San Luis Obispo,NA,NA,NA,NA,NA,NA,CDF,NA,325,NA,NA,Misc,0,NA,5/9/87
1987,SLU 966,0,0,NA,5/14/87,NA,San Luis Obispo,NA,NA,NA,NA,NA,NA,CDF,NA,875,NA,NA,Equipment Use,0,NA,5/14/87
2008,SMOKEY,0,0,Butte,8/13/08,NA,NA,NA,NA,NA,NA,NA,NA,CDF,NA,1324,NA,T,Lightning,0,0,8/13/08
1987,SNAG,0,0,NA,8/31/87,NA,Lassen,NA,NA,NA,Stanislaus,NA,NA,NPS,NA,NA,830,NA,Lightning,0,NA,9/5/87
1992,SNELLING,0,0,Madera-Mariposa,7/14/92,NA,NA,NA,IV,NA,NA,NA,NA,CDF,NA,2080,NA,AP,Lightning,0,0,7/14/92
1983,SNOW CREEK ASSIST,0,0,Riverside,5/25/83,NA,NA,NA,VI,NA,NA,NA,NA,CITY,NA,75,4000,B,NA,NA,NA,5/26/83
2016,SOBERANES,5,68,NA,7/22/16,BEU-3422,Monterey,NA,NA,NA,NA,NA,NA,CDF,NA,132127,NA,BGT,Campfire,1,0,10/13/16
1996,SOBOBA,0,0,Riverside,6/23/96,NA,NA,NA,South,NA,NA,NA,NA,CDF/BIA,NA,671,NA,B,Playing with fire,0,0,6/23/96
2005,SOBOBA,0,0,Riverside,6/22/05,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,2000,NA,GB,Equipment use,NA,NA,6/24/05
1984,SOBOBA #7,0,0,Riverside,10/25/84,NA,NA,NA,VI,NA,NA,NA,NA,CDF,NA,972,NA,B,Misc,NA,NA,10/25/84
2014,SODA,0,0,NA,1/14/14,SQF-120,Tulare,NA,NA,NA,NA,NA,NA,USFS,NA,NA,1612,TB,Undetermined,0,0,4/19/14
2016,SODA,0,0,NA,6/4/16,CND-1171,San Luis Obispo,NA,NA,NA,NA,NA,NA,BLM,NA,NA,2003,BG,Undetermined,0,0,6/6/16
2011,SODA,0,1,NA,9/3/11,SLU-007086,San Luis Obispo,NA,NA,NA,NA,NA,NA,CDF,NA,1528,NA,BG,Equipment use,0,0,9/4/11
2008,SODA COMPLEX,0,4,NA,6/21/08,MNF-645,Lake,NA,NA,NA,NA,NA,NA,USFS,NA,NA,8632,TG,Lightning,0,0,7/26/08
2015,SOLIMAR,0,0,NA,12/25/15,VNC-89187,Ventura,NA,NA,NA,NA,NA,NA,VNC,NA,NA,1288,NA,Undetermined,0,0,12/28/15
2016,SOUP COMPLEX,0,0,NA,9/17/16,MDF-910,Modoc,NA,NA,NA,NA,NA,NA,USFS,NA,NA,2722,GT,Undetermined,0,0,10/31/16
1999,SOUTH,0,0,Butte,8/23/99,NA,NA,NA,Coast,NA,NA,NA,NA,CDF,NA,1572,NA,B,Lightning,0,0,8/30/99
2012,SOUTH COMPLEX,0,0,NA,8/10/12,DVP-11569,Inyo,NA,NA,NA,NA,NA,NA,USFS,NA,NA,453,B,Lightning,0,0,10/16/12
2015,SOUTH COMPLEX,0,3,NA,8/1/15,SHF-2108,Trinity,NA,NA,NA,NA,NA,NA,USFS,NA,NA,29416,T,Lightning,0,0,10/1/15
2017,SOUTH FORK,0,0,NA,8/13/17,YNP-108,Mariposa,NA,NA,NA,NA,NA,NA,NPS,NA,NA,7000,BT,Undetermined,0,0,11/30/17
1980,SOUTH MOUNTAIN,0,0,San Bernardino,10/29/80,NA,NA,NA,VI,NA,NA,NA,NA,CC,NA,0,3600,B,Equipment use,NA,NA,10/30/80
1985,SOUTH MOUNTAIN,0,0,Ventura County,6/30/85,NA,NA,NA,VI,NA,NA,NA,NA,CC,NA,NA,600,B,NA,NA,NA,7/3/85
1994,SPANISH,0,0,Santa Barbara County,9/8/94,NA,NA,NA,South,NA,NA,NA,NA,CC,NA,NA,2123,NA,NA,0,0,9/9/94
2011,SPANISH,0,0,NA,7/1/11,HUU-003190,Humboldt,NA,NA,NA,NA,NA,NA,CDF,NA,498,NA,TG,Equipment use,0,0,7/4/11
2012,SPANISH,0,0,NA,7/18/12,NOD-3016,Lassen,NA,NA,NA,NA,NA,NA,USFS,NA,NA,1169,GB,NA,0,0,7/21/12
1999,SPANISH,0,0,Santa Barbara County,7/18/99,NA,NA,NA,South,NA,NA,NA,NA,CC,NA,NA,14537,NA,Equipment use,NA,NA,7/26/99
1979,SPANISH RANCH,0,0,San Luis Obispo,8/15/79,NA,NA,NA,V,NA,NA,NA,NA,CDF,NA,930,0,B,Equipment use,4,NA,8/16/79
1994,SPECIMEN,0,0,Klamath NF,9/17/94,NA,NA,NA,Coast,NA,NA,NA,NA,USFS,NA,NA,6463,NA,Lightning,0,0,NA
2002,SPI #3 SOURGRASS,0,0,Tuolumne-Calaveras,11/25/02,NA,NA,NA,Sierra,NA,NA,NA,NA,CDF,NA,635,NA,TB,Debris Burning,0,0,11/30/02
1988,SPOOR,0,0,San Bernardino,7/22/88,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,415,NA,B,Playing with fire,NA,NA,7/23/88
1999,SPRING,0,0,Tehama-Glenn,8/23/99,NA,NA,NA,Coast,NA,NA,NA,NA,CDF,NA,6000,NA,GB,Lightning,0,0,8/23/99
1999,SPRING #5,0,0,Shasta-Trinity,8/23/99,NA,NA,NA,Coast,NA,NA,NA,NA,CDF,NA,807,NA,TB,Lightning,0,0,8/30/99
1999,SPRING #5 (SUGARLOAF),0,0,Shasta-Trinity,8/23/99,NA,NA,NA,Coast,NA,NA,NA,NA,CDF,NA,807,NA,TB,Lightning,0,0,8/30/99
1995,SPRINGS,0,0,San Diego,10/20/95,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,307,NA,B,Equipment use,0,0,10/20/95
2013,SPRINGS,12,10,NA,5/2/13,VNC-12193,Ventura,NA,NA,NA,NA,NA,NA,CC,NA,NA,24251,BG,Unidentified,0,0,5/9/13
1981,SPRINGS,0,0,Owens Valley,2/24/81,NA,NA,NA,VI,NA,NA,NA,NA,CDF,NA,1200,0,B,Arson,NA,NA,2/25/81
1981,SPRUCE,0,0,Riverside,6/4/81,NA,NA,NA,VI,NA,NA,NA,NA,CDF,NA,1030,0,B,Play W/Fire,NA,NA,6/4/81
2008,SQUAW 1 LIGHTNING,0,0,Mendocino,6/21/08,NA,NA,NA,NA,NA,NA,NA,NA,CDF,NA,3000,NA,T,Lightning,0,0,7/13/08
1984,SQUAW FLAT,0,0,Ventura County,10/15/84,NA,NA,NA,VI,NA,NA,NA,NA,CC,NA,NA,6010,B,BA,NA,NA,10/17/84
1979,SQUAW RIDGE,0,0,Tehama-Glenn,7/13/79,NA,NA,NA,II,NA,NA,NA,NA,CDF,NA,9400,0,GAP,Arson,NA,NA,7/14/79
2002,SQUIRREL,0,1,Shasta-Trinity,9/3/02,NA,NA,NA,Cascade,NA,NA,NA,NA,CDF,NA,625,NA,GT,Smoking,0,0,9/3/02
1996,SRF ASSIST #15 (PANTHER),0,0,Humboldt-Del Norte,9/26/96,NA,NA,NA,Coast,NA,NA,NA,NA,USFS,NA,NA,350,BT,Undetermined,0,0,9/29/96
2008,SRF LIGHTNING COMPLEX,0,0,NA,6/20/08,SRF-1036,Humboldt,Trinity,NA,NA,NA,NA,NA,USFS,NA,NA,900,T,Lightning,0,0,NA
1987,ST. CLAIRE,0,0,NA,8/30/87,NA,Siskiyou,NA,NA,NA,Klamath,NA,NA,USFS,NA,NA,8600,NA,Lightning,0,NA,10/6/87
1981,ST. ELMO,0,0,Kern CC,8/24/81,NA,NA,NA,IV,NA,NA,NA,NA,CC,NA,0,400,BG,NA,NA,NA,8/25/81
2008,STA 57 ONO CDF IGO 2,0,0,Shasta-Trinity,6/21/08,NA,NA,NA,NA,NA,NA,NA,NA,CDF,NA,4000,NA,T,Lightning,0,0,7/24/08
1980,STABLE,0,65,San Bernardino,11/15/80,NA,NA,NA,VI,NA,NA,NA,NA,USFS,NA,0,6066,B,Cooking Fire,NA,NA,11/19/80
2001,STABLES,0,4,Angeles NF,10/12/01,NA,NA,NA,Sierra,NA,NA,NA,NA,USFS,NA,NA,6544,NA,Under investigation,0,0,10/15/01
2012,STAFFORD,0,0,NA,9/5/12,SHF-2894,Trinity,NA,NA,NA,NA,NA,NA,USFS,NA,NA,4407,T,Unidentified,0,0,9/13/12
2011,STAGE,0,0,NA,6/27/11,TUU-000134,Tulare,NA,NA,NA,NA,NA,NA,CDF,NA,1213,NA,T,Equipment use,0,0,7/2/11
2003,STAGE,0,0,Riverside,7/4/03,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,1700,NA,B,Equipment use,NA,NA,7/4/03
1993,STAGECOACH,0,8,Orange County,10/26/93,NA,NA,NA,III,NA,NA,NA,NA,CC,NA,NA,546,NA,Arson,0,0,10/27/93
1987,STALLION SPRINGS,0,0,NA,8/31/87,NA,Kern,NA,NA,NA,NA,NA,NA,CC,NA,NA,6000,NA,Lightning,0,NA,9/4/87
1985,STAN. #7,0,0,Madera-Mariposa,8/2/85,NA,NA,NA,IV,NA,NA,NA,NA,USFS,NA,NA,1019,BG,Misc,NA,NA,8/12/85
1987,STANISLAUS COMPLEX,0,18,NA,8/29/87,NA,NA,NA,NA,NA,Stanislaus,NA,NA,USFS,NA,NA,144762,NA,Lightning,1,NA,9/13/87
2001,STAR,0,4,El Dorado,8/25/01,NA,NA,NA,Sierra,NA,NA,NA,NA,USFS,NA,NA,16761,NA,Under investigation,0,0,9/22/01
1992,STAR FIRE,0,0,San Diego,7/16/92,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,430,NA,B,Undetermined,0,0,7/19/92
1992,STATE,0,0,Riverside,5/31/92,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,1200,NA,BG,Arson,0,0,6/2/92
1992,STATE,0,0,Riverside,9/27/92,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,1080,NA,GB,Arson,0,0,9/27/92
1992,STATE,0,0,Riverside,10/7/92,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,411,NA,B,Arson,0,0,10/8/92
1993,STATE,0,0,Riverside,5/26/93,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,500,NA,B,Equipment use,0,0,5/26/93
1995,STATE,0,0,Riverside,6/23/95,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,1963,NA,BG,Undetermined,0,0,6/25/95
1995,STATE,0,0,Riverside,7/22/95,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,1335,NA,B,Arson,0,0,7/23/95
1995,STATE,0,0,Riverside,9/26/95,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,3500,NA,B,Arson,0,0,9/26/95
1994,STATE,0,1,Riverside,7/11/94,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,1000,NA,B,Arson,0,0,7/12/94
1988,STATE,0,0,Riverside,6/14/88,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,1200,NA,BG,Misc,NA,NA,6/14/88
1988,STATE,0,0,Riverside,7/10/88,NA,NA,NA,III,NA,NA,NA,NA,USFS,NA,NA,350,NA,NA,NA,NA,NA
1988,STATE,0,0,Riverside,7/11/88,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,400,NA,B,Misc,NA,NA,7/12/88
1988,STATE,0,0,San Diego,10/9/88,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,445,NA,B,Arson,NA,NA,10/10/88
1994,STATE (BAILEY),2,8,Riverside,6/25/94,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,7000,NA,GB,Equipment use,0,0,6/30/94
1997,STATE (BROWN),0,3,Riverside,5/10/97,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,320,NA,B,Arson,0,1,5/10/97
1994,STATE (ESPERANZA),0,0,Riverside,8/21/94,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,657,NA,B,Arson,0,0,8/23/94
