OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area
15164,1979,CA,USF,INF,NA,00000000,1979-05-19,1979-05-22,4,NA,450,400.6395569,8,1,00000003,13080.78208,1621330.802
15165,1979,CA,USF,MNF,NA,00000000,1979-10-17,1979-10-17,7,NA,10,4.759504795,8,1,00000052,599.8736761,19261.0316
15166,1989,CA,USF,SQF,NA,00000000,1989-08-07,1989-08-09,1,NA,20,9.668207169,8,1,00000064,748.0935596,39125.84464
15167,1989,CA,USF,SQF,DRY,00000000,1989-09-03,1989-09-03,9,NA,20,6.687583447,8,1,00000094,632.4467118,27063.68976
15168,1994,CA,USF,MDF,DAMON,00000000,1994-09-18,1994-09-18,1,NA,26,7.503745079,8,1,00000092,739.0544918,30366.57831
15169,1994,CA,USF,MDF,LASSEN,00000000,1994-08-08,1994-08-09,9,NA,25,5.979682922,8,1,00000082,600.0948201,24198.9178
15170,1994,CA,USF,MDF,HEATH,00000000,1994-07-22,1994-07-22,1,NA,16,13.30978775,8,1,00000041,1015.957894,53862.80109
15171,1994,CA,USF,ENF,CEDAR,00000000,1994-01-02,1994-01-03,9,NA,20,20.24361229,8,1,00000001,1207.550028,81922.98905
15172,1980,CA,USF,SRF,NA,00000000,1980-09-22,1980-09-23,7,NA,19,18.920200350000002,8,1,00000051,982.1523338,76567.33786
15173,1980,CA,USF,SRF,NA,00000000,1980-09-25,1980-09-27,7,NA,123,122.4811707,8,1,00000059,2498.911144,495663.7065
15174,1980,CA,USF,SRF,NA,00000000,1980-09-30,1980-10-01,7,NA,33,4.026885509,8,1,00000064,478.2661268,16296.22752
15175,1980,CA,USF,KNF,BUCK,00000000,1980-07-08,1980-07-08,5,NA,16,6.835482597,8,1,00000021,601.7263594,27662.21582
15176,1980,CA,USF,KNF,HARRY,00000000,1980-08-03,1980-08-03,2,NA,75,43.64891052,8,1,00000056,1882.608738,176640.8705
15177,1999,CA,USF,CNF,CONEJOS,00000000,1999-07-12,1999-07-15,1,NA,298,282.1967468,8,1,00000057,5980.733757,1142009.67
